鶥	鹛	méi	babbler (bird)
灰頭雀鶥	灰头雀鹛	huī tóu què méi	(bird species of China) Yunnan fulvetta (Alcippe fratercula)
玉山噪鶥	玉山噪鹛	Yù Shān zào méi	(bird species of China) white-whiskered laughingthrush (Trochalopteron morrisonianum)
玉山雀鶥	玉山雀鹛	Yù Shān què méi	(bird species of China) Taiwan fulvetta (Fulvetta formosana)
瑙蒙短尾鶥	瑙蒙短尾鹛	Nǎo méng duǎn wěi méi	(bird species of China) Naung Mung scimitar babbler (Jabouilleia naungmungensis)
白冠噪鶥	白冠噪鹛	bái guān zào méi	(bird species of China) white-crested laughingthrush (Garrulax leucolophus)
白喉噪鶥	白喉噪鹛	bái hóu zào méi	(bird species of China) white-throated laughingthrush (Garrulax albogularis)
白眉雀鶥	白眉雀鹛	bái méi què méi	(bird species of China) white-browed fulvetta (Fulvetta vinipectus)
白眶斑翅鶥	白眶斑翅鹛	bái kuàng bān chì méi	(bird species of China) spectacled barwing (Actinodura ramsayi)
白眶雀鶥	白眶雀鹛	bái kuàng què méi	(bird species of China) Nepal fulvetta (Alcippe nipalensis)
白耳奇鶥	白耳奇鹛	bái ěr qí méi	(bird species of China) white-eared sibia (Heterophasia auricularis)
白腹幽鶥	白腹幽鹛	bái fù yōu méi	(bird species of China) spot-throated babbler (Pellorneum albiventre)
白腹鳳鶥	白腹凤鹛	bái fù fèng méi	(bird species of China) white-bellied erpornis (Erpornis zantholeuca)
白項鳳鶥	白项凤鹛	bái xiàng fèng méi	(bird species of China) white-naped yuhina (Yuhina bakeri)
白領鳳鶥	白领凤鹛	bái lǐng fèng méi	(bird species of China) white-collared yuhina (Yuhina diademata)
白頭鶪鶥	白头䴗鹛	bái tóu jú méi	(bird species of China) white-hooded babbler (Gampsorhynchus rufulus)
白頰噪鶥	白颊噪鹛	bái jiá zào méi	(bird species of China) white-browed laughingthrush (Garrulax sannio)
白頸噪鶥	白颈噪鹛	bái jǐng zào méi	(bird species of China) white-necked laughingthrush (Garrulax strepitans)
