職	职	zhí	office/duty
謀職	谋职	móu zhí	to look for a job/to seek employment
貶職	贬职	biǎn zhí	to demote
越職	越职	yuè zhí	to exceed one's authority/to go beyond the bounds of one's job
辭職	辞职	cí zhí	to resign
閑職	闲职	xián zhí	sinecure/position with practically no obligations
降職	降职	jiàng zhí	to demote (to a lower rank)
雙職工	双职工	shuāng zhí gōng	working couple (husband and wife both employed)
離職	离职	lí zhí	to retire/to leave office/to quit a job
革職	革职	gé zhí	to sack/to remove from a position/to depose
顯職	显职	xiǎn zhí	prominent post
高級職務	高级职务	gāo jí zhí wù	high position/senior post
高級職員	高级职员	gāo jí zhí yuán	high official/senior executive
高職	高职	gāo zhí	professional/advanced/senior
高職院校	高职院校	gāo zhí yuàn xiào	professional school/higher vocational school
