聖	圣	shèng	holy/sacred/saint/sage
聖安地列斯斷層	圣安地列斯断层	Shèng ān de liè sī Duàn céng	San Andreas Fault, California/also written 聖安德列斯斷層|圣安德列斯断层
聖安多尼堂區	圣安多尼堂区	Shèng Ān duō ní táng qū	St Anthony Parish (Macau)/Freguesia de Santo António
聖安德列斯斷層	圣安德列斯断层	Shèng ān dé liè sī Duàn céng	San Andreas Fault, California
聖安德魯	圣安德鲁	shèng Ān dé lǔ	St Andrew
聖安東尼奧	圣安东尼奥	Shèng Ān dōng ní ào	San Antonio, Texas
聖帕特里克	圣帕特里克	Shèng Pà tè lǐ kè	Saint Patrick
聖廟	圣庙	shèng miào	shrine to a sage (esp. Confucius)
聖彼得	圣彼得	Shèng Bǐ dé	Saint Peter
聖彼得堡	圣彼得堡	Shèng Bǐ dé bǎo	Saint Petersburg (city in Russia)
聖徒	圣徒	shèng tú	saint
聖德克旭貝里	圣德克旭贝里	Shèng dé kè xù bèi lǐ	(Antoine de) Saint-Exupéry
聖德太子	圣德太子	Shèng dé Tài zǐ	Prince Shōtoku Taiji (574-621), major Japanese statesman and reformer of the Asuka period 飛鳥時代|飞鸟时代[Fēi niǎo Shí dài], proponent of state Buddhism, portrayed as Buddhist saint
聖心	圣心	shèng xīn	Sacred Heart (Christian)
聖心節	圣心节	shèng xīn jié	Feast of the Sacred Heart
聖戰	圣战	shèng zhàn	Holy war/jihad
聖手	圣手	shèng shǒu	divine physician/sage doctor/highly skilled practitioner
聖文森及格瑞那丁	圣文森及格瑞那丁	Shèng Wén sēn jí Gé ruì nà dīng	Saint Vincent and the Grenadines (Tw)
聖文森和格林納丁	圣文森和格林纳丁	Shèng Wén sēn hé Gé lín nà dīng	St Vincent and Grenadines, Caribbean island in Lesser Antilles
聖文森特和格林納丁斯	圣文森特和格林纳丁斯	Shèng wén sēn tè hé Gé lín nà dīng sī	Saint Vincent and the Grenadines
聖旨	圣旨	shèng zhǐ	imperial edict
聖明	圣明	shèng míng	enlightened sage/brilliant master (flattering words applied to ruler)
聖朝	圣朝	shèng cháo	the current imperial dynasty/one's own court
聖杯	圣杯	shèng bēi	Holy Grail
聖歌	圣歌	shèng gē	hymn
聖殿	圣殿	shèng diàn	temple
聖母	圣母	Shèng mǔ	the Virgin Mary
聖母	圣母	shèng mǔ	goddess
聖母升天節	圣母升天节	Shèng mǔ shēng tiān jié	Assumption of the Virgin Mary (Christian festival on 15th August)
聖母婊	圣母婊	shèng mǔ biǎo	(Internet slang) sanctimonious bitch
聖母峰	圣母峰	Shèng mǔ fēng	Goddess peak (Nepalese: Sagarmatha, Sky Goddess)/refers to Mt Chomolungma or Qomolangma (Tibetan), Chinese 珠穆朗瑪峰|珠穆朗玛峰/Mt Everest
聖母教堂	圣母教堂	shèng mǔ jiào táng	Church of Our Lady/Frauenkirche
聖母瑪利亞	圣母玛利亚	Shèng mǔ Mǎ lì yà	Mary (mother of Jesus)
聖水	圣水	shèng shuǐ	holy water
聖洗	圣洗	shèng xǐ	baptism (Christian ceremony)
聖渦	圣涡	shèng wō	dimples of Venus/back dimples
聖潔	圣洁	shèng jié	pure and holy
