飛	飞	fēi	to fly
雞飛狗跳	鸡飞狗跳	jī fēi gǒu tiào	lit. chickens flying and dogs jumping (idiom)/fig. in chaos/in disarray
雞飛蛋打	鸡飞蛋打	jī fēi dàn dǎ	the chicken has flown the coop and the eggs are broken/a dead loss (idiom)
雲霄飛車	云霄飞车	yún xiāo fēi chē	roller coaster
霞飛	霞飞	Xiá fēi	Joseph Joffre (1852-1931), leading French general at the start of World War One
下飛機	下飞机	xià fēi jī	to get off a plane/to deplane
飛也似的	飞也似的	fēi yě shì de	lit. as if flying/very fast
飛來橫禍	飞来横祸	fēi lái hèng huò	sudden and unexpected disaster (idiom)
飛來飛去	飞来飞去	fēi lái fēi qù	to fly about/to fly hither and thither/to flit/to swarm/to spiral
飛出	飞出	fēi chū	to fly out
飛出個未來	飞出个未来	Fēi chū ge Wèi lái	Futurama (US TV animated series, 1999-)
飛刀	飞刀	fēi dāo	a throwing knife/fly cutter (machine tool)
飛利浦	飞利浦	Fēi lì pǔ	Philips (company)
飛升	飞升	fēi shēng	to levitate heavenwards (a Daoist success)/to take off/to soar (of prices)
飛吻	飞吻	fēi wěn	to blow a kiss
飛地	飞地	fēi dì	administrative enclave/land of one country enclosed within another/a salient
飛天	飞天	fēi tiān	flying Apsara (Buddhist art)
飛奔	飞奔	fēi bēn	to dash (run fast)/to rush/to dart
飛安	飞安	fēi ān	aviation safety (Tw)
飛將軍	飞将军	Fēi jiāng jūn	nickname of Han dynasty general Li Guang 李廣|李广[Lǐ Guǎng]
飛彈	飞弹	fēi dàn	missile
飛征	飞征	fēi zhēng	birds and beasts/the beasts of the field and the birds of the air/same as 飛禽走獸|飞禽走兽
飛快	飞快	fēi kuài	very fast/at lightning speed/(coll.) razor-sharp
飛揚	飞扬	fēi yáng	to rise/to fly upward
飛揚跋扈	飞扬跋扈	fēi yáng bá hù	bossy and domineering/throwing one's weight about
飛撾	飞挝	fēi wō	ancient weapon with a tip like a grappling hook, thrown at enemy combatants in order to capture them
飛昇	飞升	fēi shēng	to levitate heavenwards (a Daoist success)/to take off/to soar (of prices)
飛機	飞机	fēi jī	airplane/CL:架[jià]
飛機場	飞机场	fēi jī chǎng	airport/(slang) flat chest/CL:處|处[chù]
飛機失事	飞机失事	fēi jī shī shì	plane crash
飛機師	飞机师	fēi jī shī	pilot/aviator
飛機票	飞机票	fēi jī piào	air ticket/CL:張|张[zhāng]
飛機艙門	飞机舱门	fēi jī cāng mén	airplane cabin door
飛機雲	飞机云	fēi jī yún	contrail
飛機餐	飞机餐	fēi jī cān	airplane meal (GM)
飛檐走壁	飞檐走壁	fēi yán zǒu bì	to leap onto roofs and vault over walls (usually associated with martial arts)
飛沫	飞沫	fēi mò	aerosol/spray/mist/splattered drops/spray from sneeze or saliva
飛沫傳染	飞沫传染	fēi mò chuán rǎn	droplet infection (disease transmission from sneezing, coughing etc)
飛沫四濺	飞沫四溅	fēi mò sì jiàn	to spray in all directions
飛漲	飞涨	fēi zhǎng	soaring inflation/rocketing prices
飛濺	飞溅	fēi jiàn	to splash/to spatter
飛瀑	飞瀑	fēi pù	waterfall
飛盤	飞盘	fēi pán	frisbee
飛短流長	飞短流长	fēi duǎn liú cháng	to spread malicious gossip
飛碟	飞碟	fēi dié	flying saucer/frisbee
飛禽	飞禽	fēi qín	birds
飛禽走獸	飞禽走兽	fēi qín zǒu shòu	birds and animals/the beasts of the field and the birds of the air
飛秒	飞秒	fēi miǎo	femtosecond, fs, 10^-15 s
飛符	飞符	fēi fú	talisman in the form of a painting of symbols thought to have magical powers (also called 符籙|符箓[fú lù])/to invoke the magical power of such a talisman/a tiger tally 虎符[hǔ fú] sent with great urgency
飛紅	飞红	fēi hóng	to blush
飛索	飞索	fēi suǒ	zip line
飛翔	飞翔	fēi xiáng	to circle in the air/to soar
飛腿	飞腿	fēi tuǐ	kick
飛膜	飞膜	fēi mó	patagium
飛舞	飞舞	fēi wǔ	to flutter/to dance in the breeze
飛舟	飞舟	fēi zhōu	fast boat
飛船	飞船	fēi chuán	airship/spaceship
飛艇	飞艇	fēi tǐng	airship
飛葉子	飞叶子	fēi yè zi	(slang) to smoke pot
飛虎隊	飞虎队	fēi hǔ duì	Flying Tigers, US airmen in China during World War Two/Hong Kong nickname for police special duties unit
飛蚊症	飞蚊症	fēi wén zhèng	eye floaters (moving spots in the eye's vitreous humor)
飛蛾	飞蛾	fēi é	moth
飛蛾投火	飞蛾投火	fēi é tóu huǒ	lit. like a moth flying into the fire (idiom); fig. to choose a path to certain destruction
飛蛾撲火	飞蛾扑火	fēi é pū huǒ	the moth flies into the flame/fatal attraction
飛蝗	飞蝗	fēi huáng	flying locusts
飛蟲	飞虫	fēi chóng	flying insect/winged insect
飛行	飞行	fēi xíng	(of planes etc) to fly/flying/flight/aviation
