爾	尔	ěr	thus/so/like that/you/thou
希爾內科斯	希尔内科斯	Xī ěr nèi kē sī	Kirkenes (city in Finnmark, Norway)
希爾弗瑟姆	希尔弗瑟姆	Xī ěr fú sè mǔ	Hilversum, city in Netherlands
希爾頓	希尔顿	Xī ěr dùn	Hilton (hotel chain)
帕內爾	帕内尔	Pà nèi ěr	Parnell (name)/Charles Stewart Parnell (1846-1891), Irish nationalist politician
帕利基爾	帕利基尔	Pà lì jī ěr	Palikir, capital of the Federated States of Micronesia
帕拉塞爾士	帕拉塞尔士	Pà lā sè ěr shì	Paracelsius (Auroleus Phillipus Theostratus Bombastus von Hohenheim, 1493-1541), Swiss alchemist and prominent early European scientist
帕斯卡爾	帕斯卡尔	Pà sī kǎ ěr	Pascal (name)
帕爾瓦蒂	帕尔瓦蒂	pà ěr wǎ dì	Parvati (the consort of Shiva)
帕米爾	帕米尔	Pà mǐ ěr	Pamir high plateau on the border between Xinjiang and Tajikistan
帕米爾山脈	帕米尔山脉	pà mǐ ěr shān mài	the Pamir mountains
帕米爾高原	帕米尔高原	Pà mǐ ěr Gāo yuán	Pamir high plateau on the border between Xinjiang and Tajikistan
帕蒂爾	帕蒂尔	Pà dì ěr	Patil (name)/Pratibha Patil (1934-), female Indian Congress Party politician, president of India 2007-2012
帕麗斯·希爾頓	帕丽斯·希尔顿	Pà lì sī · Xī ěr dùn	Paris Hilton
庫爾	库尔	Kù ěr	Chur (city in Switzerland)
庫爾勒	库尔勒	Kù ěr lè	Korla Shehiri, Korla or Ku'erle City, capital of Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
庫爾勒市	库尔勒市	Kù ěr lè shì	Korla Shehiri, Korla or Ku'erle City, capital of Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu]
庫爾尼科娃	库尔尼科娃	Kù ěr ní kē wá	Anna Sergeevna Kournikova (1981-), Russian tennis star and glamor model
庫爾德	库尔德	Kù ěr dé	Kurd/Kurdish
庫爾德人	库尔德人	Kù ěr dé rén	Kurdish person or people
庫爾德工人黨	库尔德工人党	Kù ěr dé Gōng rén dǎng	Kurdistan Worker's Party (PPK)
庫爾德斯坦	库尔德斯坦	Kù ěr dé sī tǎn	Kurdistan
庫爾斯克	库尔斯克	Kù ěr sī kè	Kursk (city)
庫爾特·瓦爾德海姆	库尔特·瓦尔德海姆	Kù ěr tè · Wǎ ěr dé hǎi mǔ	Kurt Waldheim (1918-2007), Austrian diplomat and politician, secretary-general of UN 1972-1981, president of Austria 1986-1992
康奈爾	康奈尔	Kāng nài ěr	Cornell (US University)
康奈爾大學	康奈尔大学	Kāng nài ěr Dà xué	Cornell University
康託爾	康托尔	Kāng tuō ěr	Cantor (name)/Georg Cantor (1845-1918), German mathematician, founder of set theory 集合論|集合论[jí hé lùn]
弗拉基米爾	弗拉基米尔	Fú lā jī mǐ ěr	Vladimir
彼爾姆	彼尔姆	Bǐ ěr mǔ	Perm, Russian city in the Urals
彿雷澤爾	佛雷泽尔	Fú léi zé ěr	Frazer (name)
得爾塔	得尔塔	děi ěr tǎ	delta (Greek letter Δδ)
德維爾潘	德维尔潘	Dé wéi ěr pān	(Dominique) de Villepin (French name)
德雷爾	德雷尔	Dé léi ěr	Dreyer (name)/June Teufel Dreyer, China expert at Univ. of Miami and Foreign Policy Research Institute
怪人奧爾·揚科維奇	怪人奥尔·扬科维奇	guài rén Ào ěr · Yáng kē wéi qí	"Weird Al" Yankovic (1959-), US singer and writer of parody songs
恩格爾	恩格尔	Ēn gé ěr	Engel (name)/Ernst Engel (1821-1896), German statistician
愛德斯沃爾	爱德斯沃尔	Ài dé sī wò ěr	Eidsvoll (city in Norway)
愛爾蘭	爱尔兰	Ài ěr lán	Ireland
愛爾蘭人	爱尔兰人	Ài ěr lán rén	Irish person
愛爾蘭共和國	爱尔兰共和国	Ài ěr lán Gòng hé guó	Republic of Ireland
愛爾蘭共和軍	爱尔兰共和军	Ài ěr lán Gòng hé jūn	Irish Republican Army
愛爾蘭海	爱尔兰海	Ài ěr lán Hǎi	Irish Sea between Ireland and north England
愛爾蘭語	爱尔兰语	Ài ěr lán yǔ	Irish language
愛莫利維爾	爱莫利维尔	Ài mò lì wéi ěr	Emeryville, town on San Fransico bay, California
戈培爾	戈培尔	Gē péi ěr	Joseph Goebbels (1897-1945), German Nazi leader and politician
戈斯拉爾	戈斯拉尔	Gē sī lā ěr	Goslar, Germany
戈爾	戈尔	Gē ěr	Gore (name)/Al Gore (1948-), US vice-president 1993-2001 under Bill Clinton, subsequently environmental campaigner and Nobel Peace laureate
戈爾巴喬夫	戈尔巴乔夫	Gē ěr bā qiáo fū	Gorbachev/Mikhail Sergeyevich Gorbachev (1931-), last president of the Soviet Union 1991-1995
戴爾	戴尔	Dài ěr	Dell
扎伊爾	扎伊尔	Zhā yī ěr	Zaire
扎爾達里	扎尔达里	Zā ěr dá lǐ	Asif Ali Zardari (1956-), Pakistani People's Party politician, widower of murdered Benazir Bhutto, president of Pakistan from 2008-2013
打高爾夫	打高尔夫	dǎ gāo ěr fū	to play golf
打高爾夫球	打高尔夫球	dǎ gāo ěr fū qiú	to play golf
托拉爾	托拉尔	tuō lā ěr	(loanword) tolar, currency of Slovenia 1991-2007/tolar, silver coin that served as the main currency of Bohemia 1520-1750
托木爾	托木尔	Tuō mù ěr	Mt Tomur (Russian: Pik Pobeda), the highest peak of Tianshan mountains on the border between Xinjiang and Kyrgyzstan
托木爾峰	托木尔峰	Tuō mù ěr fēng	Mt Tomur (Russian: Pik Pobeda), the highest peak of Tianshan mountains on the border between Xinjiang and Kyrgyzstan
托爾斯泰	托尔斯泰	Tuō ěr sī tài	Tolstoy (name)/Count Lev Nikolayevich Tostoy (1828-1910), great Russian novelist, author of War and Peace 戰爭與和平|战争与和平
托爾斯港	托尔斯港	Tuō ěr sī Gǎng	Tórshavn, capital of Faroe Islands
托爾金	托尔金	Tuō ěr jīn	J.R.R. Tolkien (1892-1973), British philologist and author of fantasy fiction such as Lord of the Rings 魔戒
拉什卡爾加	拉什卡尔加	Lā shí kǎ ěr Jiā	Lashkar Gah, capital of Helmand province in south Afghanistan
拉什莫爾山	拉什莫尔山	Lā shí mò ěr Shān	Mt Rushmore National Memorial, South Dakota
拉包爾	拉包尔	Lā bāo ěr	Rabaul, port city and capital of New Britain, island of northeast Papua New Guinea
拉合爾	拉合尔	Lā hé ěr	Lahore (city in Pakistan)
拉姆斯菲爾德	拉姆斯菲尔德	Lā mǔ sī fēi ěr dé	Donald Rumsfeld (1932-), former US Secretary of Defense
拉斐爾	拉斐尔	Lā fěi ěr	Raphael
拉斯帕爾馬斯	拉斯帕尔马斯	Lā sī pà ěr mǎ sī	Las Palmas, Spain
拉爾夫	拉尔夫	Lā ěr fū	Ralph (name)
拉爾維克	拉尔维克	Lā ěr wéi kè	Larvik (city in Vestfold, Norway)
拉瓦爾	拉瓦尔	Lā wǎ ěr	Laval (name)
拉蓋爾	拉盖尔	Lā gài ěr	Laguerre (name)/Edmond Laguerre (1834-1886), French mathematician
拜科努爾	拜科努尔	Bài kē nǔ ěr	Baikonur (Russian space launch site in Kazakhstan)
拜科努爾航天發射基地	拜科努尔航天发射基地	Bài kē nǔ ěr Háng tiān Fā shè Jī dì	Baikonur Cosmodrome
捷爾任斯克	捷尔任斯克	Jié ěr rèn sī kè	Dzerzhinsk, Russian city
捷爾梅茲	捷尔梅兹	Jié ěr méi zī	Termez city in southeast Uzbekistan
提爾	提尔	Tí ěr	Tyre (Lebanon)
提爾市	提尔市	Tí ěr Shì	Tyre (Lebanon)
摩爾	摩尔	Mó ěr	Moore or Moor (name)/see also 摩爾人|摩尔人[Mó ěr rén]
摩爾	摩尔	mó ěr	mole (chemistry)
摩爾人	摩尔人	Mó ěr rén	a Moor
摩爾多瓦	摩尔多瓦	Mó ěr duō wǎ	Moldova/Republic of Moldova, former Soviet republic on the border with Romania
摩爾多瓦人	摩尔多瓦人	Mó ěr duō wǎ rén	Moldovan (person)
摩爾斯電碼	摩尔斯电码	Mó ěr sī diàn mǎ	Morse code
摩爾根	摩尔根	Mó ěr gēn	Morgan (name)
摩爾門	摩尔门	Mó ěr mén	Mormon (religion)
摩爾門經	摩尔门经	Mó ěr mén Jīng	Book of Mormon
摩蘇爾	摩苏尔	Mó sū ěr	Mosul (Iraqi city)
撒切爾	撒切尔	Sā qiē ěr	Thatcher (name)/Baroness Thatcher or Margaret Thatcher (1925-2013), British conservative politician, prime minister 1979-1990
撒切爾夫人	撒切尔夫人	Sā qiē ěr Fū ren	Mrs Thatcher/Baroness Thatcher or Margaret Thatcher (1925-2013), British conservative politician, prime minister 1979-1990
撒爾孟	撒尔孟	Sā ěr mèng	Salmon (name)
撒馬爾幹	撒马尔干	Sǎ mǎ ěr gàn	Samarkand, city in Uzbekistan/also written 撒馬爾罕|撒马尔罕
撒馬爾罕	撒马尔罕	Sǎ mǎ ěr hǎn	Samarkand, city in Uzbekistan
敦刻爾克	敦刻尔克	Dūn kè ěr kè	Dunkirk, port in northern France
斯德哥爾摩	斯德哥尔摩	Sī dé gē ěr mó	Stockholm, capital of Sweden
斯徹達爾	斯彻达尔	Sī chè dá ěr	Stjørdal (city in Trøndelag, Norway)
斯普林菲爾德	斯普林菲尔德	Sī pǔ lín fēi ěr dé	Springfield
斯泰恩謝爾	斯泰恩谢尔	Sī tài ēn xiè ěr	Steinkjær (city in Trøndelag, Norway)
斯皮爾伯格	斯皮尔伯格	Sī pí ěr bó gé	Steven Spielberg (1946-), US film director
斯福爾瓦爾	斯福尔瓦尔	Sī fú ěr wǎ ěr	Svolvær (city in Nordland, Norway)
斯科費爾峰	斯科费尔峰	Sī kē fèi ěr Fēng	Scafell Pike, the highest mountain in England (978 m)
斯維爾德洛夫	斯维尔德洛夫	Sī wéi ěr dé luò fū	Yakov Mikhailovich Sverdlov (1885-1919), Bolshevik organizer, ordered the murder of the Tsar's family in 1918, died of Spanish influenza
新南威爾士	新南威尔士	Xīn Nán Wēi ěr shì	New South Wales, southeast Australian state
新南威爾士州	新南威尔士州	Xīn Nán Wēi ěr shì zhōu	New South Wales (Australian state)
新奧爾良	新奥尔良	Xīn ào ěr liáng	New Orleans, Louisiana
新婚宴爾	新婚宴尔	xīn hūn yàn ěr	variant of 新婚燕爾|新婚燕尔[xīn hūn yàn ěr]
新婚燕爾	新婚燕尔	xīn hūn yàn ěr	newlyweds
新巴爾虎右旗	新巴尔虎右旗	Xīn bā ěr hǔ yòu qí	New Barag right banner in Hulunbuir 呼倫貝爾|呼伦贝尔[Hū lún bèi ěr], Inner Mongolia
新巴爾虎左旗	新巴尔虎左旗	Xīn bā ěr hǔ zuǒ qí	New Barag left banner in Hulunbuir 呼倫貝爾|呼伦贝尔[Hū lún bèi ěr], Inner Mongolia
新疆維吾爾自治區	新疆维吾尔自治区	Xīn jiāng Wéi wú ěr Zì zhì qū	Xinjiang Uighur autonomous region, abbr. 新, capital Urumqi or Ürümqi 烏魯木齊|乌鲁木齐
新罕布什爾	新罕布什尔	Xīn Hǎn bù shí ěr	New Hampshire, US state
新罕布什爾州	新罕布什尔州	Xīn Hǎn bù shí ěr zhōu	New Hampshire, US state
施蒂利爾	施蒂利尔	shī dì lì ěr	Styria province of Austria
施蒂利爾州	施蒂利尔州	shī dì lì ěr zhōu	Styria province of Austria
昌迪加爾	昌迪加尔	Chāng dí jiā ěr	Chandighar, capital of Punjab state of northwest India
普爾熱瓦爾斯基	普尔热瓦尔斯基	Pǔ ěr rè wǎ ěr sī jī	Nikolai Mikhailovich Przevalski (1839-1888), Russian explorer who made four expeditions to Central Asian from 1870/abbr. to 普氏
普萊費爾	普莱费尔	Pǔ lái fèi ěr	Playfair (surname)
普萘洛爾	普萘洛尔	pǔ nài luò ěr	propranolol (beta-blocker used to treat high blood pressure)
曼蘇爾	曼苏尔	Màn sū ěr	Al-Mansur/Abu Jafar al Mansur (712-775), second Abassid caliph
曼達爾	曼达尔	Màn dá ěr	Mandal (city in Agder, Norway)
李爾王	李尔王	Lǐ ěr wáng	King Lear, 1605 tragedy by William Shakespeare 莎士比亞|莎士比亚
杜塞爾多夫	杜塞尔多夫	Dù sāi ěr duō fū	Düsseldorf (Germany)
杜爾伯特	杜尔伯特	Dù ěr bó tè	Dorbod Mongol autonomous county in Daqing 大慶|大庆[Dà qìng], Heilongjiang
杜爾伯特縣	杜尔伯特县	Dù ěr bó tè xiàn	Dorbod Mongol autonomous county in Daqing 大慶|大庆[Dà qìng], Heilongjiang
杜爾伯特蒙古族自治縣	杜尔伯特蒙古族自治县	Dù ěr bó tè Měng gǔ zú Zì zhì xiàn	Dorbod Mongol autonomous county in Daqing 大慶|大庆[Dà qìng], Heilongjiang
柏柏爾	柏柏尔	Bò bò ěr	Berber people of North Africa
查爾斯	查尔斯	Chá ěr sī	Charles
查爾斯·格雷	查尔斯·格雷	Chá ěr sī · Gé léi	Charles Grey (1764-1845), prime minister of the United Kingdom 1830-34
查爾斯·狄更斯	查尔斯·狄更斯	Chá ěr sī · Dí gēng sī	Charles Dickens (1812-1870), great English novelist
查爾斯頓	查尔斯顿	Chá ěr sī dùn	Charleston
柯南·道爾	柯南·道尔	Kē nán · Dào ěr	Sir Arthur Conan Doyle (1859-1930), author of the Sherlock Holmes stories 歇洛克·福爾摩斯|歇洛克·福尔摩斯
柯爾克孜	柯尔克孜	Kē ěr kè zī	Kyrghiz ethnic group of Xinjiang
柯爾克孜族	柯尔克孜族	Kē ěr kè zī zú	Kyrghiz ethnic group of Xinjiang
柯爾克孜語	柯尔克孜语	Kē ěr kè zī yǔ	Kyrghiz language
格勒諾布爾	格勒诺布尔	Gé lè nuò bù ěr	Grenoble (French town)
格林奈爾大學	格林奈尔大学	Gé lín nài ěr Dà xué	Grinnell College (private liberal arts college in Grinnell, Iowa, USA)
格爾夫波特	格尔夫波特	Gé ěr fū Bō tè	Gulf Port (Florida or Mississippi)
格爾木	格尔木	Gé ěr mù	Golmud or Ge'ermu city (Tibetan: na gor mo grong khyer) in Haixi Mongol and Tibetan autonomous prefecture 海西蒙古族藏族自治州[Hǎi xī Měng gǔ zú Zàng zú zì zhì zhōu], Qinghai
格爾木市	格尔木市	Gé ěr mù shì	Golmud or Ge'ermu city (Tibetan: na gor mo grong khyer) in Haixi Mongol and Tibetan autonomous prefecture 海西蒙古族藏族自治州[Hǎi xī Měng gǔ zú Zàng zú zì zhì zhōu], Qinghai
格薩爾	格萨尔	Gé sà ěr	King Gesar, hero of a Tibetan and Mongolian epic cycle
桑德爾福德	桑德尔福德	Sāng dé ěr fú dé	Sandefjord (city in Vestfold, Norway)
桑給巴爾	桑给巴尔	Sāng jǐ bā ěr	Zanzibar
梅斯梅爾	梅斯梅尔	Méi sī méi ěr	Mesmer (name)/Franz Anton Mesmer (1734-1815), Austrian doctor who introduced hypnosis
梅里斯達斡爾族區	梅里斯达斡尔族区	Méi lǐ sī Dá wò ěr zú qū	Meilisi Daur district of Qiqihar city 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
梯也爾	梯也尔	Tī yě ěr	Adolphe Thiers
森海塞爾	森海塞尔	Sēn hǎi sè ěr	Sennheiser (brand)
楠格哈爾省	楠格哈尔省	Nán gé hā ěr shěng	Nangarhar province of Afghanistan
標準普爾	标准普尔	Biāo zhǔn Pǔ ěr	Standard and Poor's (S&P), company specializing in financial market ratings/S&P financial index
歇洛克·福爾摩斯	歇洛克·福尔摩斯	Xiē luò kè · Fú ěr mó sī	Sherlock Holmes
比勒費爾德	比勒费尔德	Bǐ lè fèi ěr dé	Bielefeld (city in Germany)
比哈爾邦	比哈尔邦	Bǐ hā ěr bāng	Bihar, state in eastern India
比爾	比尔	Bǐ ěr	Bill (name)
比爾·蓋茨	比尔·盖茨	Bǐ ěr · Gài cí	Bill Gates (1955-), co-founder of Microsoft
比爾博	比尔博	Bǐ ěr bó	Bilbo Baggins, hero of Tolkien's The Hobbit 霍比特人
沃克斯豪爾	沃克斯豪尔	Wò kè sī háo ěr	Vauxhall (English car brand and city)
沃爾夫	沃尔夫	Wò ěr fū	Wolf, Woolf (name)
沃爾夫斯堡	沃尔夫斯堡	Wò ěr fū sī bǎo	Wolfsburg
沃爾夫獎	沃尔夫奖	wò ěr fū jiǎng	the Wolf prize (for science and arts)
沃爾沃	沃尔沃	Wò ěr wò	Volvo (Swedish car company)
沃爾特·惠特曼	沃尔特·惠特曼	Wò ěr tè · Huì tè màn	Walt Whitman (1819-1892), American poet, essayist and journalist
沃爾瑪	沃尔玛	Wò ěr mǎ	Wal-Mart, Walmart (retailer)
沃爾芬森	沃尔芬森	Wò ěr fēn sēn	Wolfson, Wulfsohn etc (name)
沙奎爾·奧尼爾	沙奎尔·奥尼尔	Shā kuí ěr · Ào ní ěr	Shaquille O'Neal (1972-), former NBA star
法爾卡什	法尔卡什	Fǎ ěr kǎ shí	Farkas (Hungarian name)
波爾卡	波尔卡	bō ěr kǎ	polka (dance) (loanword)
波爾多	波尔多	Bō ěr duō	Bordeaux
波爾多液	波尔多液	Bō ěr duō yè	Bordeaux mixture
波爾布特	波尔布特	Bō ěr Bù tè	Pol Pot (1925-1998), Cambodian communist leader
泰戈爾	泰戈尔	Tài gē ěr	Rabindranath Tagore (1861-1941), Indian poet and writer
泰格爾	泰格尔	Tài gé ěr	Tegel (name)/Tiger (name)
泰爾	泰尔	Tài ěr	Tyre (city in Lebanon)
泰瑟爾島	泰瑟尔岛	Tài sè ěr Dǎo	Texel island, Netherlands
泰米爾	泰米尔	Tài mǐ ěr	Tamil
泰米爾伊拉姆猛虎解放組織	泰米尔伊拉姆猛虎解放组织	Tài mǐ ěr Yī lā mǔ Měng hǔ Jiě fàng Zǔ zhī	Liberation Tigers of Tamil Eelam
泰米爾猛虎組織	泰米尔猛虎组织	Tài mǐ ěr Měng hǔ Zǔ zhī	Tamil Tigers
泰米爾納德	泰米尔纳德	Tài mǐ ěr Nà dé	Tamil Nadu, southeast Indian state, capital Chennai 欽奈|钦奈[Qīn nài]/formerly Madras state 馬德拉斯邦|马德拉斯邦[Mǎ dé lā sī bāng]
泰米爾納德邦	泰米尔纳德邦	Tài mǐ ěr Nà dé bāng	Tamil Nadu, southeast Indian state, capital Chennai 欽奈|钦奈[Qīn nài]/formerly Madras state 馬德拉斯邦|马德拉斯邦[Mǎ dé lā sī bāng]
泰米爾語	泰米尔语	Tài mǐ ěr yǔ	Tamil language
洛希爾	洛希尔	Luò xī ěr	Rothschild (name)
海德格爾	海德格尔	Hǎi dé gé ěr	Martin Heidegger (1889-1976), German philosopher
海德爾堡	海德尔堡	Hǎi dé ěr bǎo	Heidelberg/also written 海德堡
海拉爾	海拉尔	Hǎi lā ěr	Hailar district, Mongolian Xailar raion, of Hulunbuir city 呼倫貝爾市|呼伦贝尔市[Hū lún bèi ěr shì], Inner Mongolia
海拉爾區	海拉尔区	Hǎi lā ěr qū	Hailar district, Mongolian Xailar raion, of Hulunbuir city 呼倫貝爾市|呼伦贝尔市[Hū lún bèi ěr shì], Inner Mongolia
海爾	海尔	Hǎi ěr	Haier (PRC household appliance brand)/Hale (name)
海爾德蘭	海尔德兰	hǎi ěr dé lán	Gelderland
涂爾干	涂尔干	Tú ěr gān	Durkheim
準噶爾盆地	准噶尔盆地	Zhǔn gá ěr Pén dì	Junggar Basin, northern Xinjiang
準噶爾翼龍	准噶尔翼龙	Zhǔn gá ěr yì lóng	Dsungaripterus (genus of pterosaur)
溫布爾登	温布尔登	Wēn bù ěr dēng	Wimbledon (district of southwest London)/Wimbledon Championships (tennis)
溫布爾登網球公開賽	温布尔登网球公开赛	Wēn bù ěr dēng Wǎng qiú Gōng kāi sài	Wimbledon Championships (tennis)
溫布爾頓	温布尔顿	Wēn bù ěr dùn	Wimbledon
溫文爾雅	温文尔雅	wēn wén ěr yǎ	cultured and refined (idiom); gentle and cultivated
溫特圖爾	温特图尔	Wēn tè tú ěr	Winterthur, Switzerland
漢密爾頓	汉密尔顿	Hàn mì ěr dùn	Hamilton (name)/Hamilton, capital of Bermuda
潘塔納爾	潘塔纳尔	Pān tǎ nà ěr	Pantanal (wetland area in Brazil)
烏拉爾	乌拉尔	Wū lā ěr	the Ural mountains in Russia, dividing Europe from Asia
烏拉爾山	乌拉尔山	Wū lā ěr shān	the Ural mountains in Russia, dividing Europe from Asia
烏拉爾山脈	乌拉尔山脉	Wū lā ěr Shān mài	Ural Mountains
烏爾	乌尔	Wū ěr	Ur (Sumerian city c. 4500 BC in modern Iraq)
烏爾姆	乌尔姆	Wū ěr mǔ	Ulm (city in Germany)
烏爾根奇	乌尔根奇	Wū ěr gēn qí	Urgench, city in Uzbekistan
烏爾格	乌尔格	Wū ěr gé	ancient name of Ulan Bator
烏爾禾	乌尔禾	Wū ěr hé	Urho district (Uighur: Orqu Rayoni) of Qaramay City 克拉瑪依市|克拉玛依市[Kè lā mǎ yī shì], Xinjiang
烏爾禾區	乌尔禾区	Wū ěr hé qū	Urho district (Uighur: Orqu Rayoni) of Qaramay City 克拉瑪依市|克拉玛依市[Kè lā mǎ yī shì], Xinjiang
烏爾都語	乌尔都语	Wū ěr dū yǔ	Urdu (language)
熱比亞·卡德爾	热比亚·卡德尔	Rè bǐ yà · Kǎ dé ěr	Rebiya Kadeer or Rabiye Qadir (1947-), Uighur businesswoman and activist, imprisoned 1999-2005, then president of the World Uighur Congress
熱比婭·卡德爾	热比娅·卡德尔	Rè bǐ yà · Kǎ dé ěr	Rebiya Kadeer or Rabiye Qadir (1947-), Uighur businesswoman and activist, imprisoned 1999-2005, then president of the World Uighur Congress
熱爾韋	热尔韦	Rè ěr wéi	Gervais (name)/Paul Gervais (1816-1879), French geologist
上艾瑟爾	上艾瑟尔	Shàng ài sè ěr	Overijssel
爾來	尔来	ěr lái	recently/until now/up to the present/lately/also written 邇來|迩来
爾後	尔后	ěr hòu	henceforth/thereafter/subsequently
爾德	尔德	Ěr dé	Eid (Islam)
爾格	尔格	ěr gé	erg (physics) (loanword)
爾虞我詐	尔虞我诈	ěr yú wǒ zhà	lit. you hoodwink me and I cheat you (idiom); fig. mutual deception/each tries to outwit the other/dog eats dog and devil take the hindmost
爾雅	尔雅	Ěr yǎ	"Erya" or "The Ready Guide", first extant Chinese dictionary, c. 3rd century BC, with glossaries on classical texts
特古西加爾巴	特古西加尔巴	Tè gǔ xī jiā ěr bā	Tegucigalpa, capital of Honduras
特拉法爾加	特拉法尔加	Tè lā fǎ ěr jiā	Trafalgar
特拉法爾加廣場	特拉法尔加广场	Tè lā fǎ ěr jiā guǎng chǎng	Trafalgar Square (London)
特里爾	特里尔	Tè lǐ ěr	Trier (city in Germany)
特魯埃爾	特鲁埃尔	Tè lǔ āi ěr	Tergüel or Teruel, Spain
率爾操觚	率尔操觚	shuài ěr cāo gū	to compose in off-hand way (idiom); to dash off
玻爾茲曼	玻尔兹曼	Bō ěr zī màn	Ludwig Boltzmann (1844-1906), Austrian physicist and philosopher
班加羅爾	班加罗尔	Bān jiā luó ěr	Bangalore, capital of southwest Indian state Karnataka 卡納塔克邦|卡纳塔克邦[Kǎ nà tǎ kè bāng]
班珠爾	班珠尔	Bān zhū ěr	Banjul, capital of Gambia
班禪額爾德尼	班禅额尔德尼	Bān chán É ěr dé ní	Panchen Erdeni or Panchen Lama/abbr. to 班禪|班禅[Bān chán]
瑞爾	瑞尔	ruì ěr	riel (Cambodian currency)
瓜達卡納爾島	瓜达卡纳尔岛	Guā dá kǎ nà ěr dǎo	Guadalcanal Island
瓜達卡納爾戰役	瓜达卡纳尔战役	Guā dá kǎ nà ěr zhàn yì	battle of Guadalcanal of late 1942, the turning point of the war in the Pacific
瓜達爾	瓜达尔	Guā dá ěr	Gwadar, free trade port city in Pakistani province of Baluchistan
瓜達爾港	瓜达尔港	Guā dá ěr Gǎng	Gwadar Port on Arabian Sea in Pakistani province of Baluchistan
瓦爾基里	瓦尔基里	wǎ ěr jī lǐ	valkyrie
瓦爾德	瓦尔德	Wǎ ěr dé	Vardø (city in Finnmark, Norway)
瓦爾特	瓦尔特	Wǎ ěr tè	Walter
瓦爾納	瓦尔纳	Wǎ ěr nà	Varna (city in Bulgaria)
瓦爾達克	瓦尔达克	Wǎ ěr dá kè	Wardak (Afghan province)
瓦爾達克省	瓦尔达克省	Wǎ ěr dá kè Shěng	Wardak (Afghan province)
瓦赫基爾河	瓦赫基尔河	Wǎ hè jī ěr Hé	Vakhsh river (upper reaches of Amu Darya)
畢爾巴鄂	毕尔巴鄂	Bì ěr bā è	Bilbao (city in Spain)
皮卡爾	皮卡尔	Pí kǎ ěr	Picard (name)
皮埃爾	皮埃尔	Pí āi ěr	Pierre (name)
皮爾	皮尔	Pí ěr	Pierre, capital of South Dakota
皮爾森	皮尔森	Pí ěr sēn	Pearson (family name as well as various places)
盧布爾雅那	卢布尔雅那	Lú bù ěr yǎ nà	Ljubljana, capital of Slovenia
盧瓦爾河	卢瓦尔河	Lú wǎ ěr Hé	Loire River, France
社會達爾文主義	社会达尔文主义	shè huì Dá ěr wén zhǔ yì	social Darwinism
福爾	福尔	Fú ěr	Félix Faure (1841-1899), president of France 1895-1899
福爾摩斯	福尔摩斯	Fú ěr mó sī	Sherlock Holmes, 歇洛克·福爾摩斯|歇洛克·福尔摩斯[Xiē luò kè · Fú ěr mó sī]
福爾摩沙	福尔摩沙	Fú ěr mó shā	Formosa (Tw)
福祿貝爾	福禄贝尔	Fú lù bèi ěr	surname Fröbel or Froebel/Friedrich Wilhelm August Fröbel (1782-1852), German pedagogue
科佩爾	科佩尔	Kē pèi ěr	Koper (port city of Slovenia)
科爾	科尔	Kē ěr	Kohl (name)/Helmut Kohl (1930-), German CDU politician, Chancellor 1982-1998
科爾多瓦	科尔多瓦	Kē ěr duō wǎ	Córdoba, Spain
科爾沁	科尔沁	Kē ěr qìn	Horqin or Xorchin, famous Mongolian archer/Horqin district or Xorchin raion of Tongliao city 通遼市|通辽市[Tōng liáo shì], Inner Mongolia
科爾沁區	科尔沁区	Kē ěr qìn qū	Horqin district or Xorchin raion of Tongliao city 通遼市|通辽市[Tōng liáo shì], Inner Mongolia
科爾沁右翼中旗	科尔沁右翼中旗	Kē ěr qìn yòu yì zhōng qí	Horqin right center banner, Mongolian Khorchin Baruun Garyn Dund khoshuu, in Hinggan league 興安盟|兴安盟[Xīng ān méng], east Inner Mongolia
科爾沁右翼前旗	科尔沁右翼前旗	Kē ěr qìn yòu yì qián qí	Horqin right front banner, Mongolian Khorchin Baruun Garyn Ömnöd khoshuu, in Hinggan league 興安盟|兴安盟[Xīng ān méng], east Inner Mongolia
科爾沁左翼中	科尔沁左翼中	Kē ěr qìn zuǒ yì zhōng	Horqin Left Middle banner or Khorchin Züün Garyn Dund khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
科爾沁左翼中旗	科尔沁左翼中旗	Kē ěr qìn zuǒ yì zhōng qí	Horqin Left Middle banner or Khorchin Züün Garyn Dund khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
科爾沁左翼後	科尔沁左翼后	Kē ěr qìn zuǒ yì hòu	Horqin Left Rear banner or Khorchin Züün Garyn Xoit khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
科爾沁左翼後旗	科尔沁左翼后旗	Kē ěr qìn zuǒ yì hòu qí	Horqin Left Rear banner or Khorchin Züün Garyn Xoit khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
科茨沃爾德	科茨沃尔德	Kē cí wò ěr dé	the Cotswolds (England)
