爾	尔	ěr	thus/so/like that/you/thou
北愛爾蘭	北爱尔兰	Běi Ài ěr lán	Northern Ireland
卑爾根	卑尔根	Bēi ěr gēn	Bergen
卓爾不群	卓尔不群	zhuó ěr bù qún	standing above the common crowd (idiom); outstanding/excellent and unrivaled
博帕爾	博帕尔	Bó pà ěr	Bhopal, capital of central Indian state of Madhya Pradesh 中央邦[Zhōng yāng bāng]
博爾塔拉蒙古自治州	博尔塔拉蒙古自治州	Bó ěr tǎ lā Měng gǔ zì zhì zhōu	Börtala Mongol autonomous prefecture in Xinjiang
博爾德	博尔德	Bó ěr dé	Boulder, Colorado
博爾赫斯	博尔赫斯	Bó ěr hè sī	Jorge Luis Borges
博爾頓	博尔顿	Bó ěr dùn	Bolton (name)
卡塔爾	卡塔尔	Kǎ tǎ ěr	Qatar
卡爾	卡尔	Kǎ ěr	Karl (name)
卡爾·馬克思	卡尔·马克思	Kǎ ěr · Mǎ kè sī	Karl Marx (1818-1883), German socialist philosopher, political activist and founder of Marxism
卡爾加里	卡尔加里	Kǎ ěr jiā lǐ	Calgary, largest city of Alberta, Canada
卡爾巴拉	卡尔巴拉	Kǎ ěr bā lā	Karbala (city in Iraq)
卡爾德龍	卡尔德龙	Kǎ ěr dé lóng	Calderon (Hispanic name)
卡爾文	卡尔文	Kǎ ěr wén	Calvin (name)
卡爾文克萊因	卡尔文克莱因	Kǎ ěr wén Kè lái yīn	Calvin Klein CK (brand)
卡爾斯魯厄	卡尔斯鲁厄	Kǎ ěr sī lǔ è	Karlsruhe (city in Germany)
卡爾紮伊	卡尔扎伊	Kǎ ěr zā yī	Hamid Karzai (1957-), Afghan politician, president 2004-2014
卡爾頓	卡尔顿	Kǎ ěr dùn	Carleton
卡特爾	卡特尔	kǎ tè ěr	cartel (loanword)
卡納維拉爾角	卡纳维拉尔角	Kǎ nà wéi lā ěr jiǎo	Cape Canaveral, Florida, home of Kennedy space center 肯尼迪航天中心[Kěn ní dí Háng tiān Zhōng xīn]
卡納維爾角	卡纳维尔角	Kǎ nà wéi ěr jiǎo	Cape Canaveral, Florida
卡西米爾效應	卡西米尔效应	Kǎ xī mǐ ěr xiào yìng	Casimir effect (attraction between two parallel metal plates due to quantum mechanical vacuum effects)
厄爾尼諾	厄尔尼诺	È ěr Ní nuò	El Niño, equatorial climate variation in the Pacific
厄爾尼諾現象	厄尔尼诺现象	è ěr ní nuò xiàn xiàng	El Niño effect, equatorial climatic variation over the Pacific Ocean
