橋	桥	qiáo	bridge/CL:座[zuò]
橋頭	桥头	Qiáo tóu	Qiaotou or Chiaotou township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
橋頭	桥头	qiáo tóu	either end of a bridge/a bridgehead
橋頭鄉	桥头乡	Qiáo tóu xiāng	Qiaotou or Chiaotou township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
浮橋	浮桥	fú qiáo	pontoon bridge
港珠澳大橋	港珠澳大桥	Gǎng Zhū Ào Dà qiáo	Hong Kong-Zhuhai-Macau Bridge
湘橋	湘桥	Xiāng qiáo	Xiangqiao district of Chaozhou city 潮州市[Cháo zhōu shì], Guangdong
湘橋區	湘桥区	Xiāng qiáo qū	Xiangqiao district of Chaozhou city 潮州市[Cháo zhōu shì], Guangdong
瀘定橋	泸定桥	Lú dìng qiáo	Luding Bridge over Dadu river 大渡河[Dà dù hé] in Sichuan, built by Kangxi in 1706, linking Luding county Sichuan Luding county 瀘定縣|泸定县[Lú dìng xiàn] with Garze Tibetan autonomous prefecture 甘孜藏族自治州|甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu]
灞橋	灞桥	Bà qiáo	Baqiao District of Xi’an 西安市[Xī ān Shì], Shaanxi
灞橋區	灞桥区	Bà qiáo Qū	Baqiao District of Xi’an 西安市[Xī ān Shì], Shaanxi
牙橋	牙桥	yá qiáo	dental bridge
牛橋	牛桥	niú qiáo	Oxbridge/Cambridge and Oxford
獨木橋	独木桥	dú mù qiáo	single-log bridge/(fig.) difficult path
登機廊橋	登机廊桥	dēng jī láng qiáo	air bridge/aircraft boarding bridge
登機橋	登机桥	dēng jī qiáo	boarding gate (at airport)/aircraft boarding bridge
盧溝橋	卢沟桥	Lú gōu Qiáo	Lugou Bridge or Marco Polo Bridge in southwest of Beijing, the scene of a conflict that marked the beginning of the Second Sino-Japanese War 抗日戰爭|抗日战争[Kàng Rì Zhàn zhēng]
盧溝橋事變	卢沟桥事变	Lú gōu Qiáo Shì biàn	Marco Polo Bridge Incident of 7th July 1937, regarded as the beginning of the Second Sino-Japanese War 抗日戰爭|抗日战争[Kàng Rì Zhàn zhēng]
立交橋	立交桥	lì jiāo qiáo	overpass/flyover
紅橋	红桥	Hóng qiáo	Hongqiao district of Tianjin municipality 天津市[Tiān jīn shì]
紅橋區	红桥区	Hóng qiáo qū	Hongqiao district of Tianjin municipality 天津市[Tiān jīn shì]
網橋	网桥	wǎng qiáo	(network) bridge
羅鍋兒橋	罗锅儿桥	luó guō r5 qiáo	a humpback bridge
腦橋	脑桥	nǎo qiáo	(anatomy) pons
