樹	树	shù	tree/CL:棵[kē]/to cultivate/to set up
樟樹	樟树	zhāng shù	camphor/Cinnamonum camphara
樟樹市	樟树市	Zhāng shù shì	Zhangshu county level city in Yichun 宜春, Jiangxi
七葉樹	七叶树	qī yè shù	Chinese horse chestnut (Aesculus chinensis)
樹上開花	树上开花	shù shàng kāi huā	to deck the tree with false blossoms/to make something of no value appear valuable (idiom)
樹倒猢猻散	树倒猢狲散	shù dǎo hú sūn sàn	When the tree topples the monkeys scatter. (idiom); fig. an opportunist abandons an unfavorable cause/Rats leave a sinking ship.
樹冠	树冠	shù guān	treetop
樹化玉	树化玉	shù huà yù	wood jade (type of petrified wood)
樹叢	树丛	shù cóng	thicket/undergrowth
樹大招風	树大招风	shù dà zhāo fēng	lit. a tall tree attracts the wind (idiom)/fig. a famous or rich person attracts criticism
樹幹	树干	shù gàn	tree trunk
樹懶	树懒	shù lǎn	sloth (zoology)
樹掛	树挂	shù guà	ice (rime) formed on a tree
樹敵	树敌	shù dí	to antagonize people/to make an enemy of sb
樹木	树木	shù mù	tree
樹林	树林	Shù lín	Shulin city in New Taipei City 新北市[Xīn běi shì], Taiwan
樹林	树林	shù lín	woods/grove/forest
樹林市	树林市	Shù lín shì	Shulin city in New Taipei City 新北市[Xīn běi shì], Taiwan
樹枝	树枝	shù zhī	branch/twig
樹枝狀晶	树枝状晶	shù zhī zhuàng jīng	dendrite (crystallography)
樹根	树根	shù gēn	tree roots
樹梢	树梢	shù shāo	the tip of a tree/treetop
樹棲	树栖	shù qī	arboreal/tree-dwelling
樹樁	树桩	shù zhuāng	tree stump
樹欲靜而風不止	树欲静而风不止	shù yù jìng ér fēng bù zhǐ	lit. the trees long for peace but the wind will never cease (idiom)/fig. the world changes, whether you want it or not
樹液	树液	shù yè	tree sap
樹狀細胞	树状细胞	shù zhuàng xì bāo	dendritic cell
樹獺	树獭	shù tǎ	sloth (family Bradypodidae)
樹皮	树皮	shù pí	tree bark
樹碑立傳	树碑立传	shù bēi lì zhuàn	lit. to erect a stele and write a biography (idiom)/to monumentalize/to glorify/to sing the praises of
樹種	树种	shù zhǒng	tree species
樹突	树突	shù tū	dendrite (branched projection of a neuron)
樹突狀細胞	树突状细胞	shù tū zhuàng xì bāo	dendritic cell
樹立	树立	shù lì	to set up/to establish
樹籬	树篱	shù lí	hedge
樹脂	树脂	shù zhī	resin
樹膠	树胶	shù jiāo	tree resin/gum
樹苗	树苗	shù miáo	sapling
樹莓	树莓	shù méi	bramble/raspberry
樹莓派	树莓派	Shù méi Pài	Raspberry Pi (computing)
樹葉	树叶	shù yè	tree leaves
樹葡萄	树葡萄	shù pú tao	jaboticaba/Brazilian grape tree
樹葬	树葬	shù zàng	burial of cremated remains at the foot of a tree
樹蔭	树荫	shù yìn	shade of a tree
樹蛙	树蛙	shù wā	tree frog
樹袋熊	树袋熊	shù dài xióng	koala
樹身	树身	shù shēn	tree trunk
樹陰	树阴	shù yīn	shade (of a tree)
樹高千丈，落葉歸根	树高千丈，落叶归根	shù gāo qiān zhàng , luò yè guī gēn	see 樹高千丈，葉落歸根|树高千丈，叶落归根[shù gāo qiān zhàng , yè luò guī gēn]
樹高千丈，葉落歸根	树高千丈，叶落归根	shù gāo qiān zhàng , yè luò guī gēn	fig. a tree may grow a thousand zhang high, but its leaves return to their roots (proverb)/fig. everything has its ancestral home/in old age, an expatriate returns home
樹鷚	树鹨	shù liù	(bird species of China) olive-backed pipit (Anthus hodgsoni)
樹麻雀	树麻雀	shù má què	(bird species of China) Eurasian tree sparrow (Passer montanus)
樺樹	桦树	huà shù	birch
橄欖樹	橄榄树	gǎn lǎn shù	olive tree
橘樹	橘树	jú shù	orange tree
橡樹	橡树	xiàng shù	oak
橡膠樹	橡胶树	xiàng jiāo shù	rubber tree
櫟樹	栎树	lì shù	oak tree
決策樹	决策树	jué cè shù	decision tree
洋槐樹	洋槐树	yáng huái shù	black locust tree (Robinia pseudoacacia)
海部俊樹	海部俊树	Hǎi bù Jùn shù	KAIFU Toshiki (1931-), Japanese politician, prime minister 1989-1991
淡腳樹鶯	淡脚树莺	dàn jiǎo shù yīng	(bird species of China) pale-footed bush warbler (Urosphena pallidipes)
湯川秀樹	汤川秀树	Tāng chuān Xiù shù	YUKAWA Hideki (1907-1988), Japanese theoretical physicist and Nobel laureate
漆樹	漆树	qī shù	lac tree (Rhus vernicifera)
漆樹科	漆树科	qī shù kē	Anacardiaceae, plant family including lac tree (Rhus vernicifera) 漆樹|漆树[qī shù]
火樹銀花	火树银花	huǒ shù yín huā	display of fireworks and lanterns
灰樹鵲	灰树鹊	huī shù què	(bird species of China) grey treepie (Dendrocitta formosae)
無用之樹	无用之树	wú yòng zhī shù	useless person (originally from Zhuangzi's "A Happy Excursion" 逍遙遊|逍遥游)
猴麵包樹	猴面包树	hóu miàn bāo shù	boabab tree/monkey-bread tree/Adansonia digitata (botany)
獨樹一幟	独树一帜	dú shù yī zhì	lit. to fly one's banner on a solitary tree (idiom); fig. to act as a loner/to stand out/to develop one's own school/to have attitude of one's own
獨樹一格	独树一格	dú shù yī gé	to have a unique style of one's own (idiom)
玉樹	玉树	Yù shù	Yushu Tibetan autonomous prefecture (Tibetan: yus hru'u bod rigs rang skyong khul) in Qinghai
玉樹州	玉树州	Yù shù zhōu	Yushu Tibetan autonomous prefecture (Tibetan: yus hru'u bod rigs rang skyong khul) in Qinghai
玉樹縣	玉树县	Yù shù xiàn	Yushu county (Tibetan: yus hru'u rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
玉樹藏族自治州	玉树藏族自治州	Yù shù Zàng zú zì zhì zhōu	Yushu Tibetan autonomous prefecture (Tibetan: yus hru'u bod rigs rang skyong khul) in Qinghai
環氧樹脂	环氧树脂	huán yǎng shù zhī	epoxy resin (chemistry)
生成樹	生成树	shēng chéng shù	spanning tree (in graph theory)
異色樹鶯	异色树莺	yì sè shù yīng	(bird species of China) aberrant bush warbler (Horornis flavolivaceus)
白楊樹	白杨树	bái yáng shù	white poplar (Populus bonatii)
白蠟樹	白蜡树	bái là shù	Chinese ash (Fraxinus chinensis), whose bark, flowers and leaves are used in TCM
百年樹人	百年树人	bǎi nián shù rén	It takes ten years to nurture a tree, but a hundred years to train a man (idiom)/fig. a good education program takes a long time to develop/cf. 十年樹木，百年樹人|十年树木，百年树人
皂莢樹	皂荚树	zào jiá shù	Chinese honey locust (Gleditsia sinensis)
盤尾樹鵲	盘尾树鹊	pán wěi shù què	(bird species of China) racket-tailed treepie (Crypsirina temia)
矮樹	矮树	ǎi shù	short tree/bush/shrub
石南樹	石南树	shí nán shù	heath
石榴樹	石榴树	shí liu shù	pomegranate tree
砍樹	砍树	kǎn shù	to chop wood/to chop down trees
種樹	种树	zhòng shù	to plant trees
紅榿樹	红桤树	hóng qī shù	red alder (Alnus rubra)
紅樹	红树	hóng shù	red mangrove (Rhizophora mangle)/CL:棵[kē]
紅樹林	红树林	hóng shù lín	mangrove forest or swamp
綠樹	绿树	lǜ shù	trees/greenery
綠樹成蔭	绿树成荫	lǜ shù chéng yìn	(of an area) to have trees with shade-giving foliage/(of a road) to be tree-lined
聖誕樹	圣诞树	Shèng dàn shù	Christmas tree
聚酯樹脂	聚酯树脂	jù zhǐ shù zhī	polyester resin
芝蘭玉樹	芝兰玉树	zhī lán yù shù	lit. orchids and jade trees (idiom); fig. a child with splendid future prospects
茶樹	茶树	chá shù	tea tree/Camellia sinensis
菩提樹	菩提树	pú tí shù	pipal tree (Ficus religiosa)/bo fig tree/Bodhi tree (sacred to Buddhism and Hinduism)
蚍蜉撼大樹	蚍蜉撼大树	pí fú hàn dà shù	lit. an ant trying to shake a big tree (idiom)/fig. to overrate one's own strength/also written 蚍蜉撼樹|蚍蜉撼树[pí fú hàn shù]
蚍蜉撼樹	蚍蜉撼树	pí fú hàn shù	lit. an ant trying to shake a tree/to overrate oneself (idiom)
螞蟻上樹	蚂蚁上树	mǎ yǐ shàng shù	"ants climbing a tree", a Sichuan dish made with cellophane noodles 粉絲|粉丝[fěn sī] and ground meat (so called because the particles of meat clinging to the noodles look like ants on the twigs of a tree)/(sex position) man standing, woman clinging to his upper body/(erotic massage) full-body licking
見血封喉樹	见血封喉树	jiàn xuè fēng hóu shù	Antiaris toxicaria (botany)
貝多羅樹	贝多罗树	bèi duō luó shù	Talipot palm (Corypha umbraculifera), whose leaves were used as writing media
趙樹理	赵树理	Zhào Shù lǐ	Zhao Shuli (1906-1970), proletarian novelist
遠東樹鶯	远东树莺	Yuǎn dōng shù yīng	(bird species of China) Manchurian bush warbler (Horornis borealis)
醇酸樹脂	醇酸树脂	chún suān shù zhī	alkyd resin
金冠樹八哥	金冠树八哥	jīn guān shù bā gē	(bird species of China) golden-crested myna (Ampeliceps coronatus)
金雞納樹	金鸡纳树	jīn jī nà shù	Cinchona ledgeriana/the quinine tree
針葉樹	针叶树	zhēn yè shù	conifer
錢樹	钱树	qián shù	money tree/prostitute/hen that lays golden eggs
鐵樹	铁树	tiě shù	sago palm (Cycas revoluta)
鐵樹開花	铁树开花	tiě shù kāi huā	lit. the iron tree blooms (idiom)/a highly improbable or extremely rare occurrence
阿月渾子樹	阿月浑子树	ā yuè hún zǐ shù	pistachio tree
霸王樹	霸王树	bà wáng shù	cactus
青檀樹	青檀树	qīng tán shù	blue sandalwood (Pteroceltis tatarinowii Maxim), the bark of which is used to manufacture 宣紙|宣纸
香泡樹	香泡树	xiāng pāo shù	citron (Citrus medica)/grapefruit
高樹	高树	Gāo shù	Kaoshu township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
高樹鄉	高树乡	Gāo shù xiāng	Kaoshu township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
鱗頭樹鶯	鳞头树莺	lín tóu shù yīng	(bird species of China) Asian stubtail (Urosphena squameiceps)
鳳頭樹燕	凤头树燕	fèng tóu shù yàn	(bird species of China) crested treeswift (Hemiprocne coronata)
麵包樹	面包树	miàn bāo shù	breadfruit tree/Artocarpus altilis
黃果樹大瀑布	黄果树大瀑布	Huáng guǒ shù Dà Pù bù	Huangguoshu falls, Anshun 安順|安顺[Ān shùn], Guizhou
黃果樹瀑布	黄果树瀑布	Huáng guǒ shù Pù bù	Huangguoshu waterfalls, Anshun 安順|安顺[Ān shùn], Guizhou
黃腹樹鶯	黄腹树莺	huáng fù shù yīng	(bird species of China) yellow-bellied bush warbler (Horornis acanthizoides)
黑額樹鵲	黑额树鹊	hēi é shù què	(bird species of China) collared treepie (Dendrocitta frontalis)
龍樹	龙树	Lóng shù	Nāgārjuna (c. 150-250 AD), Buddhist philosopher
龍樹菩薩	龙树菩萨	Lóng shù Pú sà	Nagarjuna (Nagarjuna Bodhisattva)
龍血樹	龙血树	lóng xuè shù	dragon tree/Dracaena (botany)
