統	统	tǒng	to gather/to unite/to unify/whole
泌尿系統	泌尿系统	mì niào xì tǒng	urinary system
消化系統	消化系统	xiāo huà xì tǒng	digestive system/gastrointestinal tract
淋巴系統	淋巴系统	lín bā xì tǒng	lymphatic system
漸新統	渐新统	jiàn xīn tǒng	Oligocene system (geology)
環球定位系統	环球定位系统	huán qiú dìng wèi xì tǒng	global positioning system (GPS)
生態系統	生态系统	shēng tài xì tǒng	ecosystem
生殖系統	生殖系统	shēng zhí xì tǒng	reproductive system
祖國和平統一委員會	祖国和平统一委员会	Zǔ guó Hé píng Tǒng yī Wěi yuán huì	Committee for Peaceful Reunification of the Fatherland (North Korean)
神權統治	神权统治	shén quán tǒng zhì	theocracy
神經系統	神经系统	shén jīng xì tǒng	nervous system
端系統	端系统	duān xì tǒng	end system
籠統	笼统	lǒng tǒng	general/broad/sweeping/lacking in detail/vague
系統	系统	xì tǒng	system/CL:個|个[gè]
系統性	系统性	xì tǒng xìng	systematic
一統	一统	yī tǒng	to unify/unified
統一	统一	tǒng yī	to unify/to unite/to integrate
統一口徑	统一口径	tǒng yī kǒu jìng	lit. one-track path; fig. to adopt a unified approach to discussing an issue/to sing from the same hymn-sheet
統一思想	统一思想	tǒng yī sī xiǎng	with the same idea in mind/with a common purpose
統一性	统一性	tǒng yī xìng	unity
統一戰線	统一战线	tǒng yī zhàn xiàn	united front
統一戰線工作部	统一战线工作部	Tǒng yī Zhàn xiàn Gōng zuò bù	United Front Work Department of CCP Central Committee (UFWD)
統一招生	统一招生	tǒng yī zhāo shēng	national unified entrance exam
統一新羅	统一新罗	tǒng yī Xīn luó	unified Silla (658-935), Korean kingdom
統一發票	统一发票	tǒng yī fā piào	invoice
統一碼	统一码	tǒng yī mǎ	Unicode
統一規劃	统一规划	tǒng yī guī huà	integrated program
統一資源	统一资源	tǒng yī zī yuán	unified resource
統一資源定位	统一资源定位	tǒng yī zī yuán dìng wèi	universal resource locator (URL), i.e. webaddress
統一資源定位符	统一资源定位符	tǒng yī zī yuán dìng wèi fú	universal resource locator (URL), i.e. webaddress
統一體	统一体	tǒng yī tǐ	whole/single entity
統假設	统假设	tǒng jiǎ shè	hypothesis/conjecture
統共	统共	tǒng gòng	altogether/in total
統制	统制	tǒng zhì	to control
統屬	统属	tǒng shǔ	subordination/line of command
統帥	统帅	tǒng shuài	command/commander-in-chief
統建	统建	tǒng jiàn	to develop as a government project/to construct under the authority of a commission
統御	统御	tǒng yù	control
統感	统感	tǒng gǎn	feeling of togetherness
統戰	统战	tǒng zhàn	united front (abbr. for 統一戰線|统一战线[tǒng yī zhàn xiàn])
統戰部	统战部	Tǒng Zhàn bù	United Front Work Department of CCP Central Committee (UFWD)/abbr. for 統一戰線工作部|统一战线工作部[Tǒng yī Zhàn xiàn Gōng zuò bù]
統攝	统摄	tǒng shè	to command
統攬	统揽	tǒng lǎn	to be in overall charge/to have overall control
統治	统治	tǒng zhì	to rule (a country)/to govern/rule/regime
統治權	统治权	tǒng zhì quán	sovereignty/dominion/dominance
統治者	统治者	tǒng zhì zhě	ruler
統漢字	统汉字	tǒng Hàn zì	Unihan/China Japan Korea (CJK) unified ideographs/abbr. for 中日韓統一表意文字|中日韩统一表意文字[Zhōng Rì Hán tǒng yī biǎo yì wén zì]
統獨	统独	tǒng dú	unification and independence
統率	统率	tǒng shuài	to command/to direct
統稱	统称	tǒng chēng	to be collectively called/collective term/general designation
統稱為	统称为	tǒng chēng wéi	collectively known as/to call sth as a group
統管	统管	tǒng guǎn	unified administration
統籌	统筹	tǒng chóu	an overall plan/to plan an entire project as a whole
統籌兼顧	统筹兼顾	tǒng chóu jiān gù	an overall plan taking into account all factors
統統	统统	tǒng tǒng	totally
統考	统考	tǒng kǎo	unified examination (e.g. across the country)
統艙	统舱	tǒng cāng	common passenger accommodation in the hold of a ship/steerage
統計	统计	tǒng jì	statistics/to count/to add up
統計員	统计员	tǒng jì yuán	statistician
統計學	统计学	tǒng jì xué	statistics
統計數據	统计数据	tǒng jì shù jù	statistical data
統計結果	统计结果	tǒng jì jié guǒ	statistical results
統計表	统计表	tǒng jì biǎo	statistical table/chart
統讀	统读	tǒng dú	standard (unified) pronunciation of a character with multiple readings, as stipulated by the PRC Ministry of Education in 1985
統貨	统货	tǒng huò	unified goods/goods in the command economy that are not graded by quality and uniformly priced
統購	统购	tǒng gòu	state purchasing monopoly/unified government purchase
統購派購	统购派购	tǒng gòu pài gòu	unified government purchase at fixed price (esp of farm products)
統購統銷	统购统销	tǒng gòu tǒng xiāo	state monopoly of purchasing and marketing
統轄	统辖	tǒng xiá	to govern/to have complete control over/to be in command of
統通	统通	tǒng tōng	everything
統配	统配	tǒng pèi	a unified distribution/a unified allocation
統銷	统销	tǒng xiāo	state marketing monopoly
統鋪	统铺	tǒng pù	a common bed (to sleep many)
統領	统领	tǒng lǐng	to lead/to command/commander/officer
統馭	统驭	tǒng yù	to control
經典動力系統	经典动力系统	jīng diǎn dòng lì xì tǒng	classical dynamical system (physics)
網管系統	网管系统	wǎng guǎn xì tǒng	network management
網絡操作系統	网络操作系统	wǎng luò cāo zuò xì tǒng	network operating system
網絡管理系統	网络管理系统	wǎng luò guǎn lǐ xì tǒng	network management system/NMS
網路作業系統	网路作业系统	wǎng lù zuò yè xì tǒng	network operating system
線性系統	线性系统	xiàn xìng xì tǒng	linear system
編碼系統	编码系统	biān mǎ xì tǒng	coding system
總統	总统	zǒng tǒng	president (of a country)/CL:個|个[gè],位[wèi],名[míng],屆|届[jiè]
總統任期	总统任期	zǒng tǒng rèn qī	presidential term of office/presidency
總統制	总统制	zǒng tǒng zhì	presidential system
總統大選	总统大选	zǒng tǒng dà xuǎn	presidential election
總統府	总统府	zǒng tǒng fǔ	presidential palace
總統選舉	总统选举	zǒng tǒng xuǎn jǔ	presidential election
繼統	继统	jì tǒng	to succeed on the throne
聲類系統	声类系统	shēng lèi xì tǒng	phonetic system
自主神經系統	自主神经系统	zì zhǔ shén jīng xì tǒng	autonomic nervous system
自主系統	自主系统	zì zhǔ xì tǒng	autonomous system
自律神經系統	自律神经系统	zì lǜ shén jīng xì tǒng	autonomic nervous system
至高統治權	至高统治权	zhì gāo tǒng zhì quán	supreme power/sovereignty
血統	血统	xuè tǒng	blood relationship/lineage/parentage
血統論	血统论	xuè tǒng lùn	class division into proletariat and bourgeoisie class enemy, in use esp. during the Cultural Revolution
衛星定位系統	卫星定位系统	wèi xīng dìng wèi xì tǒng	global positioning system (GPS)
衛星導航系統	卫星导航系统	wèi xīng dǎo háng xì tǒng	satellite navigation system/sat-nav
複雜系統	复杂系统	fù zá xì tǒng	complex system
視空間系統	视空间系统	shì kōng jiān xì tǒng	visuo-spatial sketchpad
軟件系統	软件系统	ruǎn jiàn xì tǒng	software system
輸入系統	输入系统	shū rù xì tǒng	input system/data entry system
通訊系統	通讯系统	tōng xùn xì tǒng	communication system
連續統假設	连续统假设	lián xù tǒng jiǎ shè	(math.) the continuum hypothesis
道統	道统	dào tǒng	Confucian orthodoxy
邊緣系統	边缘系统	biān yuán xì tǒng	limbic system
重新統一	重新统一	chóng xīn tǒng yī	reunification
金融系統	金融系统	jīn róng xì tǒng	financial system
銷售時點情報系統	销售时点情报系统	xiāo shòu shí diǎn qíng bào xì tǒng	point of sale system
長統襪	长统袜	cháng tǒng wà	stockings
長統靴	长统靴	cháng tǒng xuē	variant of 長筒靴|长筒靴[cháng tǒng xuē]
開放式系統	开放式系统	kāi fàng shì xì tǒng	open system(s)
開放系統	开放系统	kāi fàng xì tǒng	open system
開放系統互連	开放系统互连	kāi fàng xì tǒng hù lián	open systems interconnection/OSI
電腦系統	电脑系统	diàn nǎo xì tǒng	computer system
非洲統一組織	非洲统一组织	Fēi zhōu Tǒng yī Zǔ zhī	Organization of African Unity
預警系統	预警系统	yù jǐng xì tǒng	early warning system
體統	体统	tǐ tǒng	decorum/propriety/arrangement or form (of piece of writing)
