縣	县	xiàn	county
山陽縣	山阳县	Shān yáng Xiàn	Shanyang County in Shangluo 商洛[Shāng luò], Shaanxi
岐山縣	岐山县	Qí shān Xiàn	Qishan County in Baoji 寶雞|宝鸡[Bǎo jī], Shaanxi
岐阜縣	岐阜县	Qí fù xiàn	Gifu prefecture, Japan
岑鞏縣	岑巩县	Cén gǒng xiàn	Cengong county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
岡山縣	冈山县	Gāng shān xiàn	Okayama prefecture in southwest of Japan's main island Honshū 本州[Běn zhōu]
岢嵐縣	岢岚县	Kě lán xiàn	Kelan county in Xinzhou 忻州[Xīn zhōu], Shanxi
岩手縣	岩手县	Yán shǒu xiàn	Iwate prefecture in the north of Japan's main island Honshū 本州[Běn zhōu]
岫岩滿族自治縣	岫岩满族自治县	Xiù yán mǎn zú Zì zhì xiàn	Xiuyan Manzu autonomous county in Anshan 鞍山[Ān shān], Liaoning
岫岩縣	岫岩县	Xiù yán xiàn	Xiuyan Manzu autonomous county in Anshan 鞍山[Ān shān], Liaoning
岱山縣	岱山县	Dài shān xiàn	Daishan county in Zhoushan 舟山[Zhōu shān], Zhejiang
岳普湖縣	岳普湖县	Yuè pǔ hú xiàn	Yopurgha nahiyisi (Yopurga county) in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
岳池縣	岳池县	Yuè chí xiàn	Yuechi county in Guang'an 廣安|广安[Guǎng ān], Sichuan
岳西縣	岳西县	Yuè xī xiàn	Yuexi county in Anqing 安慶|安庆[Ān qìng], Anhui
岳陽縣	岳阳县	Yuè yáng xiàn	Yueyang county in Yueyang 岳陽|岳阳[Yuè yáng], Hunan
岷縣	岷县	Mín xiàn	Min county in Dingxi 定西[Dìng xī], Gansu
峨山彞族自治縣	峨山彝族自治县	É shān yí zú Zì zhì xiàn	Eshan Yizu autonomous county in Yuxi 玉溪[Yù xī], Yunnan
峨山縣	峨山县	É shān xiàn	Eshan Yizu autonomous county in Yuxi 玉溪[Yù xī], Yunnan
峨邊彞族自治縣	峨边彝族自治县	É biān yí zú Zì zhì xiàn	Ebian Yizu autonomous county in Leshan 樂山|乐山[Lè shān], Sichuan
峨邊縣	峨边县	É biān xiàn	Ebian Yizu autonomous county in Leshan 樂山|乐山[Lè shān], Sichuan
峽江縣	峡江县	Xiá jiāng xiàn	Xiajiang county in Ji'an 吉安, Jiangxi
崇仁縣	崇仁县	Chóng rén xiàn	Chongren county in Fuzhou 撫州|抚州, Jiangxi
崇信縣	崇信县	Chóng xìn xiàn	Chongxin county in Pingliang 平涼|平凉[Píng liáng], Gansu
崇明縣	崇明县	Chóng míng xiàn	Chongming island county, Shanghai
崇禮縣	崇礼县	Chóng lǐ xiàn	Chongli county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
崇義縣	崇义县	Chóng yì xiàn	Chongyi county in Ganzhou 贛州|赣州, Jiangxi
崇陽縣	崇阳县	Chóng yáng xiàn	Chongyang county in Xianning 咸寧|咸宁[Xián níng], Hubei
崗巴縣	岗巴县	Gǎng bā xiàn	Gamba county, Tibetan: Gam pa rdzong, in Shigatse prefecture, Tibet
嵊泗縣	嵊泗县	Shèng sì xiàn	Shengsi county in Zhoushan 舟山[Zhōu shān], Zhejiang
嵊縣	嵊县	Shèng xiàn	Sheng county in Zhejiang
嵐皋縣	岚皋县	Lán gāo Xiàn	Langao County in Ankang 安康[Ān kāng], Shaanxi
嵐縣	岚县	Lán xiàn	Lan county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
嵩明縣	嵩明县	Sōng míng xiàn	Songming county in Kunming 昆明[Kūn míng], Yunnan
嵩縣	嵩县	Sōng xiàn	Song county in Luoyang 洛陽|洛阳, Henan
巍山彞族回族自治縣	巍山彝族回族自治县	Wēi shān Yí zú Huí zú Zì zhì xiàn	Weishan Yi and Hui autonomous county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
巍山縣	巍山县	Wēi shān xiàn	Weishan Yi and Hui autonomous county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
工布江達縣	工布江达县	Gōng bù jiāng dá xiàn	Gongbo'gyamda county, Tibetan: Kong po rgya mda' rdzong, in Nyingchi prefecture 林芝地區|林芝地区[Lín zhī dì qū], Tibet
左權縣	左权县	Zuǒ quán xiàn	Zuoquan county in Jinzhong 晉中|晋中[Jìn zhōng], Shanxi
左貢縣	左贡县	Zuǒ gòng xiàn	Zogang county, Tibetan: Mdzo sgang rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
左雲縣	左云县	Zuǒ yún xiàn	Zuoyun county in Datong 大同[Dà tóng], Shanxi
巧家縣	巧家县	Qiǎo jiā xiàn	Qiaojia county in Zhaotong 昭通[Zhāo tōng], Yunnan
巨野縣	巨野县	Jù yě xiàn	Juye county in Heze 菏澤|菏泽[Hé zé], Shandong
巨鹿縣	巨鹿县	Jù lù xiàn	Julu county in Xingtai 邢台[Xíng tái], Hebei
巫山縣	巫山县	Wū shān xiàn	Wushan county in Wanzhou suburbs of north Chongqing municipality, formerly in Sichuan
巫溪縣	巫溪县	Wū xī xiàn	Wushi county in Wanzhou suburbs of north Chongqing municipality, formerly in Sichuan
巴塘縣	巴塘县	Bā táng xiàn	Batang county (Tibetan: 'ba' thang rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
巴彥縣	巴彦县	Bā yàn xiàn	Bayan county in Harbin 哈爾濱|哈尔滨[Hā ěr bīn], Heilongjiang
巴東縣	巴东县	Bā dōng xiàn	Badong county in Enshi Tujia and Miao autonomous prefecture 恩施土家族苗族自治州[Ēn shī Tǔ jiā zú Miáo zú zì zhì zhōu], Hubei
巴楚縣	巴楚县	Bā chǔ xiàn	Maralbeshi nahiyisi (Maralbexi county) in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
巴縣	巴县	Bā xiàn	Ba county in Chongqing 重慶市|重庆市, Sichuan
巴里坤哈薩克自治縣	巴里坤哈萨克自治县	Bā lǐ kūn Hā sà kè Zì zhì xiàn	Barkol Kazakh autonomous county or Barköl Qazaq aptonom nahiyisi in Kumul prefecture 哈密地區|哈密地区[Hā mì dì qū], Xinjiang
巴里坤縣	巴里坤县	Bā lǐ kūn xiàn	Barkol Kazakh autonomous county or Barköl Qazaq aptonom nahiyisi in Kumul prefecture 哈密地區|哈密地区[Hā mì dì qū], Xinjiang
巴青縣	巴青县	Bā qīng xiàn	Baqên county, Tibetan: Sbra chen rdzong, in Nagchu prefecture 那曲地區|那曲地区[Nà qǔ dì qū], central Tibet
巴馬瑤族自治縣	巴马瑶族自治县	Bā mǎ Yáo zú Zì zhì xiàn	Bama Yaozu autonomous county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
巴馬縣	巴马县	Bā mǎ xiàn	Bama Yaozu autonomous county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
市縣	市县	shì xiàn	towns and counties
布拖縣	布拖县	Bù tuō xiàn	Butuo county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
布爾津縣	布尔津县	Bù ěr jīn xiàn	Burqin county or Burchin nahiyisi in Altay prefecture 阿勒泰地區|阿勒泰地区[Ā lè tài dì qū], Xinjiang
師宗縣	师宗县	Shī zōng xiàn	Shizong county in Qujing 曲靖[Qǔ jìng], Yunnan
常山縣	常山县	Cháng shān xiàn	Changshan county in Quzhou 衢州[Qú zhōu], Zhejiang
平利縣	平利县	Píng lì Xiàn	Pingli County in Ankang 安康[Ān kāng], Shaanxi
平南縣	平南县	Píng nán xiàn	Pingnang county in Guigang 貴港|贵港[Guì gǎng], Guangxi
平原縣	平原县	Píng yuán xiàn	Pingyuan county in Dezhou 德州[Dé zhōu], Shandong
平和縣	平和县	Píng hé xiàn	Pinghe county in Zhangzhou 漳州[Zhāng zhōu], Fujian
平塘縣	平塘县	Píng táng xiàn	Pingtang county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
平壩縣	平坝县	Píng bà xiàn	Pingba county in Anshun 安順|安顺[Ān shùn], Guizhou
平安縣	平安县	Píng ān xiàn	Ping'an county in Haidong prefecture 海東地區|海东地区[Hǎi dōng dì qū], Qinghai
平定縣	平定县	Píng dìng xiàn	Pingding county in Yangquan 陽泉|阳泉[Yáng quán], Shanxi
平山縣	平山县	Píng shān xiàn	Pingshan county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
平昌縣	平昌县	Píng chāng xiàn	Pingchang county in Panzhihua 攀枝花[Pān zhī huā], south Sichuan
平果縣	平果县	Píng guǒ xiàn	Pingguo county in Baise 百色[Bǎi sè], Guangxi
平樂縣	平乐县	Píng lè xiàn	Pingle county in Guilin 桂林[Guì lín], Guangxi
平武縣	平武县	Píng wǔ xiàn	Pingwu county in Mianyang 綿陽|绵阳[Mián yáng], north Sichuan
平江縣	平江县	Píng jiāng xiàn	Pingjiang county in Yueyang 岳陽|岳阳[Yuè yáng], Hunan
平泉縣	平泉县	Píng quán xiàn	Pingquan county in Chengde 承德[Chéng dé], Hebei
平潭縣	平潭县	Píng tán xiàn	Pingtan county in Fuzhou 福州[Fú zhōu], Fujian
平羅縣	平罗县	Píng luó xiàn	Pingluo county in Shizuishan 石嘴山[Shí zuǐ shān], Ningxia
平谷縣	平谷县	Píng gǔ xiàn	former Pinggu county, now Pinggu rural district in Beijing,
平輿縣	平舆县	Píng yú xiàn	Pingyu county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
平遙縣	平遥县	Píng yáo xiàn	Pingyao county in Jinzhong 晉中|晋中[Jìn zhōng], Shanxi
平遠縣	平远县	Píng yuǎn xiàn	Pingyuan county in Meizhou 梅州, Guangdong
平邑縣	平邑县	Píng yì xiàn	Pingyi county in Linyi 臨沂|临沂[Lín yí], Shandong
平鄉縣	平乡县	Píng xiāng xiàn	Pingxiang county in Xingtai 邢台[Xíng tái], Hebei
平陰縣	平阴县	Píng yīn xiàn	Pingyin county in Jinan 濟南|济南[Jǐ nán], Shandong
平陸縣	平陆县	Píng lù xiàn	Pinglu county in Yuncheng 運城|运城[Yùn chéng], Shanxi
平陽縣	平阳县	Píng yáng xiàn	Pingyang county in Wenzhou 溫州|温州[Wēn zhōu], Zhejiang
平順縣	平顺县	Píng shùn xiàn	Pingshun county, Shanxi
府谷縣	府谷县	Fǔ gǔ Xiàn	Fugu County in Yulin 榆林[Yú lín], Shaanxi
庫車縣	库车县	Kù chē xiàn	Kuchar Nahiyisi or Kuche county in Aksu 阿克蘇地區|阿克苏地区, Xinjiang
康保縣	康保县	Kāng bǎo xiàn	Kangbao county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
康定縣	康定县	Kāng dìng xiàn	Dartsendo, Dardo or Kangding county (Tibetan: dar mdo rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
康平縣	康平县	Kāng píng xiàn	Kangping county in Shenyang 瀋陽|沈阳, Liaoning
康樂縣	康乐县	Kāng lè xiàn	Kangle county in Linxia Hui autonomous prefecture 臨夏回族自治州|临夏回族自治州[Lín xià Huí zú zì zhì zhōu], Gansu
康縣	康县	Kāng xiàn	Kang county in Longnan 隴南|陇南[Lǒng nán], Gansu
康馬縣	康马县	Kāng mǎ xiàn	Kangmar county, Tibetan: Khang dmar rdzong, in Shigatse prefecture, Tibet
廢藩置縣	废藩置县	fèi fān zhì xiàn	to abolish the feudal Han and introduce modern prefectures (refers to reorganization during Meiji Japan)
廣南縣	广南县	Guǎng nán xiàn	Guangnan county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wén shān Zhuàng zú Miáo zú zì zhì zhōu], Yunnan
廣宗縣	广宗县	Guǎng zōng xiàn	Guangzong county in Xingtai 邢台[Xíng tái], Hebei
廣寧縣	广宁县	Guǎng níng xiàn	Guangning county in Zhaoqing 肇慶|肇庆[Zhào qìng], Guangdong
廣島縣	广岛县	Guǎng dǎo xiàn	Hiroshima prefecture, Japan
廣平縣	广平县	Guǎng píng xiàn	Guangping county in Handan 邯鄲|邯郸[Hán dān], Hebei
廣德縣	广德县	Guǎng dé xiàn	Guangde county in Xuancheng 宣城[Xuān chéng], Anhui
廣昌縣	广昌县	Guǎng chāng xiàn	Guangchang county in Fuzhou 撫州|抚州, Jiangxi
廣河縣	广河县	Guǎng hé xiàn	Guanghe county in Linxia Hui autonomous prefecture 臨夏回族自治州|临夏回族自治州[Lín xià Huí zú zì zhì zhōu], Gansu
廣豐縣	广丰县	Guǎng fēng xiàn	Guangfeng county in Shangrao 上饒|上饶, Jiangxi
廣靈縣	广灵县	Guǎng líng xiàn	Guangling county in Datong 大同[Dà tóng], Shanxi
廣饒縣	广饶县	Guǎng ráo xiàn	Guanrao county in Dongying 東營|东营[Dōng yíng], Shandong
廬江縣	庐江县	Lú jiāng xiàn	Lujiang county in Chaohu 巢湖[Cháo hú], Anhui
延壽縣	延寿县	Yán shòu xiàn	Yanshou county in Harbin 哈爾濱|哈尔滨[Hā ěr bīn], Heilongjiang
延川縣	延川县	Yán chuān xiàn	Yanchuan county in Yan'an 延安[Yán ān], Shaanxi
延慶縣	延庆县	Yán qìng xiàn	Yanqing county in Beijing
延津縣	延津县	Yán jīn xiàn	Yanjin county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
延長縣	延长县	Yán cháng xiàn	Yanchang county in Yan'an 延安[Yán ān], Shaanxi
建始縣	建始县	Jiàn shǐ xiàn	Jianshi county in Enshi Tujia and Miao autonomous prefecture 恩施土家族苗族自治州[Ēn shī Tǔ jiā zú Miáo zú zì zhì zhōu], Hubei
建寧縣	建宁县	Jiàn níng xiàn	Jianning county in Sanming 三明[Sān míng], Fujian
建平縣	建平县	Jiàn píng xiàn	Jianping county in Chaoyang 朝陽|朝阳[Cháo yáng], Liaoning
建昌縣	建昌县	Jiàn chāng xiàn	Jianchang county in Huludao 葫蘆島|葫芦岛, Liaoning
建水縣	建水县	Jiàn shuǐ xiàn	Jianshui county in Honghe Hani and Yi autonomous prefecture, Yunnan
建湖縣	建湖县	Jiàn hú xiàn	Jianhu county in Yancheng 鹽城|盐城[Yán chéng], Jiangsu
弋陽縣	弋阳县	Yì yáng xiàn	Yiyang county in Shangrao 上饒|上饶, Jiangxi
張北縣	张北县	Zhāng běi xiàn	Zhangbei county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
張家川回族自治縣	张家川回族自治县	Zhāng jiā chuān huí zú Zì zhì xiàn	Zhanjiachuan Huizu autonomous county in Gansu
彌勒縣	弥勒县	Mí lè xiàn	Mile county in Honghe Hani and Yi autonomous prefecture, Yunnan
彌渡縣	弥渡县	Mí dù xiàn	Midu county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
彞良縣	彝良县	Yí liáng xiàn	Yiliang county in Zhaotong 昭通[Zhāo tōng], Yunnan
彬縣	彬县	Bīn Xiàn	Bin County in Xianyang 咸陽|咸阳[Xián yáng], Shaanxi
彭山縣	彭山县	Péng shān Xiàn	Pengshan County in Meishan 眉山市[Méi shān Shì], Sichuan
彭水縣	彭水县	Péng shuǐ xiàn	Pengshui Miao and Tujia autonomous county in Qianjiang suburbs of Chongqing municipality
彭水苗族土家族自治縣	彭水苗族土家族自治县	Péng shuǐ Miáo zú Tǔ jiā zú Zì zhì xiàn	Pengshui Miao and Tujia autonomous county in Qianjiang suburbs of Chongqing municipality
彭澤縣	彭泽县	Péng zé xiàn	Pengze county in Jiujiang 九江, Jiangxi
彭縣	彭县	Péng xiàn	Peng county in Sichuan
彭陽縣	彭阳县	Péng yáng xiàn	Pengyang county in Guyuan 固原[Gù yuán], Ningxia
彰化縣	彰化县	Zhāng huà xiàn	Zhanghua or Changhua county in west Taiwan
彰武縣	彰武县	Zhāng wǔ xiàn	Zhangwu county in Fuxin 阜新, Liaoning
徐水縣	徐水县	Xú shuǐ xiàn	Xushui county in Baoding 保定[Bǎo dìng], Hebei
徐聞縣	徐闻县	Xú wén xiàn	Xuwen county in Zhanjiang 湛江[Zhàn jiāng], Guangdong
得榮縣	得荣县	Dé róng xiàn	Dêrong county (Tibetan: sde rong rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
從江縣	从江县	Cóng jiāng xiàn	Congjiang county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
循化撒拉族自治縣	循化撒拉族自治县	Xún huà Sǎ lā zú Zì zhì xiàn	Xunhua Salazu autonomous county in Haidong prefecture 海東地區|海东地区[Hǎi dōng dì qū], Qinghai
循化縣	循化县	Xún huà xiàn	Xunhua Salazu autonomous county in Haidong prefecture 海東地區|海东地区[Hǎi dōng dì qū], Qinghai
微山縣	微山县	Wēi shān Xiàn	Weishan County in Jining 濟寧|济宁[Jǐ níng], Shandong
德保縣	德保县	Dé bǎo xiàn	Debao county in Baise 百色[Bǎi sè], Guangxi
德化縣	德化县	Dé huà xiàn	Dehua county in Quanzhou 泉州[Quán zhōu], Fujian
德安縣	德安县	Dé ān xiàn	De'an county in Jiujiang 九江, Jiangxi
德慶縣	德庆县	Dé qìng xiàn	Deqing county in Zhaoqing 肇慶|肇庆[Zhào qìng], Guangdong
德昌縣	德昌县	Dé chāng xiàn	Dechang county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
德格縣	德格县	Dé gé xiàn	Dêgê county (Tibetan: sde dge rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
德欽縣	德钦县	Dé qīn xiàn	Dechen county in Diqing Tibetan autonomous prefecture 迪慶藏族自治州|迪庆藏族自治州[Dí qìng Zàng zú zì zhì zhōu], Yunnan (formerly in Kham province of Tibet)
德江縣	德江县	Dé jiāng xiàn	Dejiang county in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
德清縣	德清县	Dé qīng xiàn	Deqing county in Huzhou 湖州[Hú zhōu], Zhejiang
德都縣	德都县	Dé dū xiàn	Dejun, former county, merged into Wudalianchi 五大連池|五大连池[Wǔ dà lián chí] in Heihe, Heilongjiang
徽縣	徽县	Huī xiàn	Hui county in Longnan 隴南|陇南[Lǒng nán], Gansu
志丹縣	志丹县	Zhì dān xiàn	Zhidan county in Yan'an 延安[Yán ān], Shaanxi
忠縣	忠县	Zhōng xiàn	Zhong county in Wanzhou suburbs of north Chongqing municipality, formerly in Sichuan
忻城縣	忻城县	Xīn chéng xiàn	Xincheng county in Laibin 來賓|来宾[Lái bīn], Guangxi
思南縣	思南县	Sī nán xiàn	Sinan county in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
恩施縣	恩施县	Ēn shī xiàn	Enshi county in southwest Hubei
恭城瑤族自治縣	恭城瑶族自治县	Gōng chéng Yáo zú Zì zhì xiàn	Gongcheng Yao autonomous county in Guilin 桂林[Guì lín], Guangxi
恭城縣	恭城县	Gōng chéng xiàn	Gongcheng Yao autonomous county in Guilin 桂林[Guì lín], Guangxi
息烽縣	息烽县	Xī fēng xiàn	Xifeng county in Guiyang 貴陽|贵阳[Guì yáng], Guizhou
息縣	息县	Xī xiàn	Xi county in Xinyang 信陽|信阳, Henan
惠來縣	惠来县	Huì lái xiàn	Huilai county in Jieyang 揭陽|揭阳, Guangdong
惠安縣	惠安县	Huì ān xiàn	Hui'an county in Quanzhou 泉州[Quán zhōu], Fujian
惠東縣	惠东县	Huì dōng xiàn	Huidong county in Huizhou 惠州[Huì zhōu], Guangdong
惠民縣	惠民县	Huì mín xiàn	Huimin county in Binzhou 濱州|滨州[Bīn zhōu], Shandong
惠水縣	惠水县	Huì shuǐ xiàn	Huishui county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
愛知縣	爱知县	Ài zhī xiàn	Aichi prefecture, central Japan
慈利縣	慈利县	Cí lì xiàn	Cili county in Zhangjiajie 張家界|张家界[Zhāng jiā jiè], Hunan
慶元縣	庆元县	Qìng yuán xiàn	Qingyuan county in Lishui 麗水|丽水[Lí shuǐ], Zhejiang
慶城縣	庆城县	Qìng chéng xiàn	Qingcheng county in Qingyang 慶陽|庆阳[Qìng yáng], Gansu
慶安縣	庆安县	Qìng ān xiàn	Qing'an county in Suihua 綏化|绥化, Heilongjiang
慶雲縣	庆云县	Qìng yún xiàn	Qingyun county in Dezhou 德州[Dé zhōu], Shandong
應縣	应县	Yīng xiàn	Ying county in Shuozhou 朔州[Shuò zhōu], Shanxi
應縣木塔	应县木塔	yìng xiàn mù tǎ	the Yingxian wooden pagoda or Sakyamuni Pagoda near Datong in Shanxi province
懷仁縣	怀仁县	Huái rén xiàn	Huairen county in Shuozhou 朔州[Shuò zhōu], Shanxi
懷來縣	怀来县	Huái lái xiàn	Huailai county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
懷化縣	怀化县	Huái huà xiàn	Huaihua county, Hunan
懷安縣	怀安县	Huái ān xiàn	Huai'an county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
懷寧縣	怀宁县	Huái níng xiàn	Huaining county in Anqing 安慶|安庆[Ān qìng], Anhui
懷柔縣	怀柔县	Huái róu xiàn	former Huairou county, now Huairou rural district of Beijing
懷遠縣	怀远县	Huái yuǎn xiàn	Huaiyuan county in Bengbu 蚌埠[Bèng bù], Anhui
懷集縣	怀集县	Huái jí xiàn	Huaiji county in Zhaoqing 肇慶|肇庆[Zhào qìng], Guangdong
成安縣	成安县	Chéng ān xiàn	Chang'an county in Handan 邯鄲|邯郸[Hán dān], Hebei
成武縣	成武县	Chéng wǔ xiàn	Chengwu county in Heze 菏澤|菏泽[Hé zé], Shandong
成縣	成县	Chéng xiàn	Cheng county in Longnan 隴南|陇南[Lǒng nán], Gansu
戶縣	户县	Hù xiàn	Hu county in Xi'an 西安[Xī ān], Shaanxi
房縣	房县	Fáng xiàn	Fang county in Shiyan 十堰[Shí yàn], Hubei
扎囊縣	扎囊县	Zā náng xiàn	Zhanang county, Tibetan: Gra nang rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
托克托縣	托克托县	Tuō kè tuō xiàn	Togtoh county, Mongolian Togtox khoshuu, in Hohhot 呼和浩特[Hū hé hào tè], Inner Mongolia
托克遜縣	托克逊县	Tuō kè xùn xiàn	Toksun county or Toqsun nahiyisi in Turpan prefecture 吐魯番地區|吐鲁番地区[Tǔ lǔ fān dì qū], Xinjiang
托里縣	托里县	Tuō lǐ xiàn	Toli county in Tacheng prefecture 塔城地區|塔城地区[Tǎ chéng dì qū], Xinjiang
扶余縣	扶余县	Fú yú xiàn	Fuyu county in Songyuan 松原, Jilin
扶溝縣	扶沟县	Fú gōu xiàn	Fugou county in Zhoukou 周口[Zhōu kǒu], Henan
扶綏縣	扶绥县	Fú suí xiàn	Fusui county in Chongzuo 崇左[Chóng zuǒ], Guangxi
扶風縣	扶风县	Fú fēng Xiàn	Fufeng County in Baoji 寶雞|宝鸡[Bǎo jī], Shaanxi
承德縣	承德县	Chéng dé xiàn	Chengde county in Chengde 承德[Chéng dé], Hebei
拉孜縣	拉孜县	Lā zī xiàn	Lhazê county, Tibetan: Lha rtse rdzong, in Shigatse prefecture, Tibet
拜城縣	拜城县	Bài chéng xiàn	Bay nahiyisi (Baicheng county) in Aksu 阿克蘇地區|阿克苏地区[Ā kè sū dì qū], west Xinjiang
拜泉縣	拜泉县	Bài quán xiàn	Baiquan county in Qiqihar 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
措勤縣	措勤县	Cuò qín xiàn	Coqen county in Ngari prefecture, Tibet, Tibetan: Mtsho chen rdzong
措美縣	措美县	Cuò měi xiàn	Comai county, Tibetan: Mtsho smad rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
揭東縣	揭东县	Jiē dōng xiàn	Jiedong county in Jieyang 揭陽|揭阳, Guangdong
揭西縣	揭西县	Jiē xī xiàn	Jiexi county in Jieyang 揭陽|揭阳, Guangdong
撫寧縣	抚宁县	Fǔ níng xiàn	Funing county in Qinhuangdao 秦皇島|秦皇岛[Qín huáng dǎo], Hebei
撫松縣	抚松县	Fǔ sōng xiàn	Fusong county in Baishan 白山, Jilin
撫遠縣	抚远县	Fǔ yuǎn xiàn	Fuyuan county in Kiamusze or Jiamusi city 佳木斯[Jiā mù sī], Heilongjiang
撫順縣	抚顺县	Fǔ shùn xiàn	Fushun county in Fushun 撫順|抚顺, Liaoning
攸縣	攸县	Yōu xiàn	You county in Zhuzhou 株洲, Hunan
改則縣	改则县	Gǎi zé xiàn	Gerze county in Ngari prefecture, Tibet, Tibetan: Sger rtse rdzong
政和縣	政和县	Zhèng hé xiàn	Zhenghe county in Nanping 南平[Nán píng] Fujian
故城縣	故城县	Gù chéng xiàn	Gucheng county in Hengshui 衡水[Héng shuǐ], Hebei
敘永縣	叙永县	Xù yǒng xiàn	Xuyong county in Luzhou 瀘州|泸州[Lú zhōu], Sichuan
文安縣	文安县	Wén ān xiàn	Wen'an county in Langfang 廊坊[Láng fáng], Hebei
文山縣	文山县	Wén shān xiàn	Wenshan county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wén shān Zhuàng zú Miáo zú zì zhì zhōu], Yunnan
文成縣	文成县	Wén chéng xiàn	Wencheng county in Wenzhou 溫州|温州[Wēn zhōu], Zhejiang
文水縣	文水县	Wén shuǐ xiàn	Wenshui county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
文縣	文县	Wén xiàn	Wen county in Longnan 隴南|陇南[Lǒng nán], Gansu
新化縣	新化县	Xīn huà xiàn	Xinhua county in Loudi 婁底|娄底[Lóu dǐ], Hunan
新和縣	新和县	Xīn hé xiàn	Toqsu nahiyisi (Xinhe county) in Aksu 阿克蘇地區|阿克苏地区[Ā kè sū dì qū], west Xinjiang
新城縣	新城县	Xīn chéng xiàn	Xincheng county in Hebei
新安縣	新安县	Xīn Ān xiàn	Xin'an county in Luoyang 洛陽|洛阳, Henan
新寧縣	新宁县	Xīn níng xiàn	Xinning county in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
新干縣	新干县	Xīn gān xiàn	Xingan county in Ji'an 吉安, Jiangxi
新平彞族傣族自治縣	新平彝族傣族自治县	Xīn píng Yí zú Dǎi zú Zì zhì xiàn	Xinping Yi and Dai autonomous county in Yuxi 玉溪[Yù xī], Yunnan
新平縣	新平县	Xīn píng xiàn	Xinping Yi and Dai autonomous county in Yuxi 玉溪[Yù xī], Yunnan
新建縣	新建县	Xīn jiàn xiàn	Xinjian county in Nanchang 南昌, Jiangxi
新昌縣	新昌县	Xīn chāng Xiàn	Xinchang County in Shaoxing 紹興|绍兴[Shào xīng], Zhejiang
新晃侗族自治縣	新晃侗族自治县	Xīn huǎng Dòng zú Zì zhì xiàn	Xinhuang Dong autonomous county in Huaihua 懷化|怀化[Huái huà], Hunan
新晃縣	新晃县	Xīn huǎng xiàn	Xinhuang Dong autonomous county in Huaihua 懷化|怀化[Huái huà], Hunan
