縣	县	xiàn	county
五峰縣	五峰县	Wǔ fēng Xiàn	abbr. for 五峰土家族自治縣|五峰土家族自治县[Wǔ fēng Tǔ jiā zú Zì zhì xiàn], Wufeng Tujia Autonomous County in Hubei
五河縣	五河县	Wǔ hé xiàn	Wuhe county in Bengbu 蚌埠[Bèng bù], Anhui
五臺縣	五台县	Wǔ tái xiàn	Wutai county in Xinzhou 忻州[Xīn zhōu], Shanxi
五華縣	五华县	Wǔ huá xiàn	Wuhua county in Meizhou 梅州, Guangdong
五蓮縣	五莲县	Wǔ lián xiàn	Wulian county in Rizhao 日照[Rì zhào], Shandong
井研縣	井研县	Jǐng yán xiàn	Jingwan county in Leshan 樂山|乐山[Lè shān], Sichuan
井陘縣	井陉县	Jǐng xíng xiàn	Jingxing county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
亞東縣	亚东县	Yà dōng xiàn	Yadong county, Tibetan: Gro mo rdzong, in Shigatse prefecture, Tibet
交口縣	交口县	Jiāo kǒu xiàn	Jiaokou county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
交城縣	交城县	Jiāo chéng xiàn	Jiaocheng county in Lüliang 呂梁|吕梁[Lǚ liáng], Shanxi 山西
京山縣	京山县	Jīng shān xiàn	Jingshan county in Jingmen 荊門|荆门[Jīng mén], Hubei
仁化縣	仁化县	Rén huà Xiàn	Renhua County, Shaoguan 韶關|韶关[Sháo guān], Guangdong
仁和縣	仁和县	Rén hé xiàn	Renhe county in Zhejiang
仁壽縣	仁寿县	Rén shòu Xiàn	Renshou County in Meishan 眉山市[Méi shān Shì], Sichuan
仁布縣	仁布县	Rén bù xiàn	Rinbung county, Tibetan: Rin spungs rdzong, in Shigatse prefecture, Tibet
仁懷縣	仁怀县	Rén huái xiàn	Renhuai county in Zunyi prefecture 遵義|遵义, Guizhou
仙居縣	仙居县	Xiān jū xiàn	Xianju county in Taizhou 台州[Tāi zhōu], Zhejiang
仙遊縣	仙游县	Xiān yóu xiàn	Xianyou county in Putian 莆田[Pú tián], Fujian
代縣	代县	Dài xiàn	Dai county in Xinzhou 忻州[Xīn zhōu], Shanxi
仲巴縣	仲巴县	Zhòng bā xiàn	Zhongba county, Tibetan: 'Brong pa rdzong, in Shigatse prefecture, Tibet
任縣	任县	Rén Xiàn	Ren county in Xingtai 邢台[Xíng tái], Hebei
伊吾縣	伊吾县	Yī wú xiàn	Yiwu county in Kumul prefecture 哈密地區|哈密地区[Hā mì dì qū], Xinjiang
伊寧縣	伊宁县	Yī níng xiàn	Yining county or Ghulja nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
伊川縣	伊川县	Yī chuān xiàn	Yichuan county in Luoyang 洛陽|洛阳, Henan
伊通滿族自治縣	伊通满族自治县	Yī tōng Mǎn zú Zì zhì xiàn	Yitong Manchurian autonomous county in Siping 四平, Jilin
伊通縣	伊通县	Yī tōng xiàn	Yitong Manchurian autonomous county in Siping 四平, Jilin
休寧縣	休宁县	Xiū níng xiàn	Xiuning county in Huangshan 黃山|黄山[Huáng shān], Anhui
伽師縣	伽师县	Jiā shī xiàn	Peyzivat nahiyisi (Peyziwat county) in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
佛坪縣	佛坪县	Fó píng Xiàn	Foping County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
佛岡縣	佛冈县	Fó gāng xiàn	Fogang county in Qingyuan 清远, Guangdong
佳縣	佳县	Jiā Xiàn	Jia County in Yulin 榆林[Yú lín], Shaanxi
來安縣	来安县	Lái ān xiàn	Lai'an county in Chuzhou 滁州[Chú zhōu], Anhui
來鳳縣	来凤县	Lái fèng xiàn	Laifeng county in Enshi Tujia and Miao autonomous prefecture 恩施土家族苗族自治州[Ēn shī Tǔ jiā zú Miáo zú zì zhì zhōu], Hubei
依安縣	依安县	Yī Ān xiàn	Yi'an county in Qiqihar 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
依蘭縣	依兰县	Yī lán xiàn	Yilan county in Harbin 哈爾濱|哈尔滨[Hā ěr bīn], Heilongjiang
保亭縣	保亭县	Bǎo tíng xiàn	Baoting Li and Miao autonomous county, Hainan
保亭黎族苗族自治縣	保亭黎族苗族自治县	Bǎo tíng Lí zú Miáo zú Zì zhì xiàn	Baoting Li and Miao autonomous county, Hainan
保康縣	保康县	Bǎo kāng xiàn	Baokang county in Xiangfan 襄樊[Xiāng fán], Hubei
保德縣	保德县	Bǎo dé xiàn	Baode county in Xinzhou 忻州[Xīn zhōu], Shanxi
保靖縣	保靖县	Bǎo jìng xiàn	Baojing county in Xiangxi Tujia and Miao autonomous prefecture 湘西土家族苗族自治州[Xiāng xī Tǔ jiā zú Miáo zú zì zhì zhōu]
信豐縣	信丰县	Xìn fēng xiàn	Xinfeng county in Ganzhou 贛州|赣州, Jiangxi
修文縣	修文县	Xiū Wén xiàn	Xiuwen county in Guiyang 貴陽|贵阳[Guì yáng], Guizhou
修武縣	修武县	Xiū wǔ xiàn	Xiuwu county in Jiaozuo 焦作[Jiāo zuò], Henan
修水縣	修水县	Xiū shuǐ xiàn	Xiushui county in Jiujiang 九江, Jiangxi
偏關縣	偏关县	Piān guān xiàn	Pianguan county in Xinzhou 忻州[Xīn zhōu], Shanxi
儀隴縣	仪陇县	Yí lǒng xiàn	Yilong county in Nanchong 南充[Nán chōng], Sichuan
儋縣	儋县	Dān xiàn	Dan county, Hainan
元氏縣	元氏县	Yuán shì xiàn	Yuanshi county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
元江哈尼族彞族傣族自治縣	元江哈尼族彝族傣族自治县	Yuán jiāng Hā ní zú Yí zú Dǎi zú Zì zhì xiàn	Yuanjiang Hani, Yi and Dai autonomous county in Yuxi 玉溪[Yù xī], Yunnan
元江縣	元江县	Yuán jiāng xiàn	Yuanjiang Hani, Yi and Dai autonomous county in Yuxi 玉溪[Yù xī], Yunnan
元謀縣	元谋县	Yuán móu xiàn	Yuanmou county in Chuxiong Yi autonomous prefecture 楚雄彞族自治州|楚雄彝族自治州[Chǔ xióng Yí zú zì zhì zhōu], Yunnan
元陽縣	元阳县	Yuán yáng xiàn	Yuanyang county in Honghe Hani and Yi autonomous prefecture, Yunnan
光山縣	光山县	Guāng shān xiàn	Guangshan county in Xinyang 信陽|信阳, Henan
光澤縣	光泽县	Guāng zé xiàn	Guangze county in Nanping 南平[Nán píng] Fujian
克山縣	克山县	Kè shān xiàn	Keshan county in Qiqihar 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
克東縣	克东县	Kè dōng xiàn	Kedong county in Qiqihar 齊齊哈爾|齐齐哈尔[Qí qí hā ěr], Heilongjiang
內丘縣	内丘县	Nèi qiū xiàn	Neiqiu county in Xingtai 邢台[Xíng tái], Hebei
內鄉縣	内乡县	Nèi xiāng xiàn	Neixiang county in Nanyang 南陽|南阳[Nán yáng], Henan
內黃縣	内黄县	Nèi huáng xiàn	Neihuang county in Anyang 安陽|安阳[Ān yáng], Henan
全南縣	全南县	Quán nán xiàn	Quannan county in Ganzhou 贛州|赣州, Jiangxi
全州縣	全州县	Quán zhōu xiàn	Quanzhou county in Guilin 桂林[Guì lín], Guangxi
全椒縣	全椒县	Quán jiāo xiàn	Quanjiao county in Chuzhou 滁州[Chú zhōu], Anhui
兩當縣	两当县	Liǎng dāng xiàn	Liangdang county in Longnan 隴南|陇南[Lǒng nán], Gansu
八宿縣	八宿县	Bā sù xiàn	Baxoi county, Tibetan: Dpa' shod rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
公安縣	公安县	Gōng ān xiàn	Gong'an county in Jingzhou 荊州|荆州[Jīng zhōu], Hubei
共和縣	共和县	Gòng hé xiàn	Gonghe county in Hainan Tibetan autonomous prefecture 海南藏族自治州[Hǎi nán Zàng zú Zì zhì zhōu], Qinghai
兵庫縣	兵库县	Bīng kù xiàn	Hyōgo prefecture in the midwest of Japan's main island Honshū 本州[Běn zhōu]
冀縣	冀县	Jì xiàn	Ji county in Hebei
冊亨縣	册亨县	Cè hēng xiàn	Ceheng county in Qianxinan Buyei and Miao autonomous prefecture 黔西南州[Qián xī nán zhōu], Guizhou
冕寧縣	冕宁县	Miǎn níng xiàn	Mianning county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
冠縣	冠县	Guān xiàn	Guanxian county in Liaocheng 聊城[Liáo chéng], Shandong
凌雲縣	凌云县	Líng yún xiàn	Lingyun county in Baise 百色[Bǎi sè], Guangxi
分宜縣	分宜县	Fēn yí xiàn	Fenyi county in Xinyu 新餘|新余[Xīn yú], Jiangxi
利津縣	利津县	Lì jīn xiàn	Lijin county in Dongying 東營|东营[Dōng yíng], Shandong
利辛縣	利辛县	Lì xīn xiàn	Lixin county in Bozhou 亳州[Bó zhōu], Anhui
前郭爾羅斯蒙古族自治縣	前郭尔罗斯蒙古族自治县	Qián guō ěr Luó sī Měng gǔ zú Zì zhì xiàn	Qian Gorlos Mongol autonomous county in Songyuan 松原, Jilin
前郭縣	前郭县	Qián guō xiàn	Qian Gorlos Mongol autonomous county in Songyuan 松原, Jilin
剛察縣	刚察县	Gāng chá xiàn	Gangcha county (Tibetan: rkang tsha rdzong) in Haibei Tibetan autonomous prefecture 海北藏族自治州[Hǎi běi Zàng zú zì zhì zhōu], Qinghai
劍川縣	剑川县	Jiàn chuān xiàn	Jianchuan county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
劍河縣	剑河县	Jiàn hé xiàn	Jianhe county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
劍閣縣	剑阁县	Jiàn gé xiàn	Jiange county in Guangyuan 廣元|广元[Guǎng yuán], Sichuan
加查縣	加查县	Jiā chá xiàn	Gyaca county, Tibetan: Rgya tsha rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
勃利縣	勃利县	Bó lì xiàn	Boli county in Qitaihe 七台河[Qī tái hé], Heilongjiang
勉縣	勉县	Miǎn Xiàn	Mian County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
勐海縣	勐海县	Měng hǎi xiàn	Menghai county in Xishuangbanna Dai autonomous prefecture 西雙版納傣族自治州|西双版纳傣族自治州[Xī shuāng bǎn nà Dǎi zú zì zhì zhōu], Yunnan
勐臘縣	勐腊县	Měng là xiàn	Mengla county in Xishuangbanna Dai autonomous prefecture 西雙版納傣族自治州|西双版纳傣族自治州[Xī shuāng bǎn nà Dǎi zú zì zhì zhōu], Yunnan
務川仡佬族苗族自治縣	务川仡佬族苗族自治县	Wù chuān Gē lǎo zú Miáo zú Zì zhì xiàn	Wuchuan Klau and Hmong Autonomous County in Zunyi 遵義|遵义[Zūn yì], northeast Guizhou
務川縣	务川县	Wù chuān xiàn	Wuchuan Klau and Hmong autonomous county in Zunyi 遵義|遵义[Zūn yì], northeast Guizhou
務川自治縣	务川自治县	Wù chuān Zì zhì xiàn	Wuchuan Klau and Hmong autonomous county in Zunyi 遵義|遵义[Zūn yì], northeast Guizhou
化德縣	化德县	Huà dé xiàn	Huade county in Ulaanchab 烏蘭察布|乌兰察布[Wū lán chá bù], Inner Mongolia
化隆回族自治縣	化隆回族自治县	Huà lóng Huí zú Zì zhì xiàn	Hualong Huizu Autonomous County in Haidong prefecture 海東地區|海东地区[Hǎi dōng dì qū], Qinghai
化隆縣	化隆县	Huà lóng xiàn	Hualong Huizu autonomous county in Haidong prefecture 海東地區|海东地区[Hǎi dōng dì qū], Qinghai
北川縣	北川县	Běi chuān xiàn	Beichuan Qiang autonomous county in Mianyang 綿陽|绵阳[Mián yáng], north Sichuan
北川羌族自治縣	北川羌族自治县	Běi chuān Qiāng zú Zì zhì xiàn	Beichuan Qiang autonomous county in Mianyang 綿陽|绵阳[Mián yáng], north Sichuan
北縣	北县	Běi xiàn	abbr. for 台北縣|台北县[Tái běi xiàn], Taipei county in north Taiwan
北鎮滿族自治縣	北镇满族自治县	Běi zhèn mǎn zú Zì zhì xiàn	Beizhen Manzu autonomous county in Liaoning
千葉縣	千叶县	Qiān yè xiàn	Chiba prefecture, Japan
千陽縣	千阳县	Qiān yáng Xiàn	Qianyang County in Baoji 寶雞|宝鸡[Bǎo jī], Shaanxi
卓尼縣	卓尼县	Zhuó ní xiàn	Jonê or Zhuoni county in Gannan Tibetan autonomous prefecture 甘南藏族自治州[Gān nán Zàng zú zì zhì zhōu], Gansu
卓資縣	卓资县	Zhuó zī xiàn	Zhuozi county in Ulaanchab 烏蘭察布|乌兰察布[Wū lán chá bù], Inner Mongolia
南丹縣	南丹县	Nán dān xiàn	Nandan county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
南召縣	南召县	Nán zhào xiàn	Nanzhao county in Nanyang 南陽|南阳[Nán yáng], Henan
南和縣	南和县	Nán hé xiàn	Nanhe county in Xingtai 邢台[Xíng tái], Hebei
南城縣	南城县	Nán chéng xiàn	Nancheng county in Fuzhou 撫州|抚州, Jiangxi
南投縣	南投县	Nán tóu xiàn	Nantou county in central Taiwan
南昌縣	南昌县	Nán chāng xiàn	Nanchang county in Nanchang 南昌, Jiangxi
南木林縣	南木林县	Nán mù lín xiàn	Namling county, Tibetan: Rnam gling rdzong, in Shigatse prefecture, Tibet
南樂縣	南乐县	Nán lè xiàn	Nanle county in Puyang 濮陽|濮阳[Pú yáng], Henan
南江縣	南江县	Nán jiāng xiàn	Nanjiang county in Panzhihua 攀枝花[Pān zhī huā], south Sichuan
南溪縣	南溪县	Nán xī xiàn	Nanxi county in Yibin 宜賓|宜宾[Yí bīn], Sichuan
南漳縣	南漳县	Nán zhāng xiàn	Nanzhang county in Xiangfan 襄樊[Xiāng fán], Hubei
南澗彞族自治縣	南涧彝族自治县	Nán jiàn yí zú Zì zhì xiàn	Nanjian Yizu autonomous county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
南澳縣	南澳县	Nán ào Xiàn	Nan'ao County in Shantou 汕頭|汕头[Shàn tóu], Guangdong
南皮縣	南皮县	Nán pí xiàn	Nanpi county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
南縣	南县	Nán xiàn	southern county/Nan county in Yiyang 益陽|益阳[Yì yáng], Hunan
南華縣	南华县	Nán huá xiàn	Nanhua county in Chuxiong Yi autonomous prefecture 楚雄彞族自治州|楚雄彝族自治州[Chǔ xióng Yí zú zì zhì zhōu], Yunnan
南豐縣	南丰县	Nán fēng xiàn	Nanfeng county in Fuzhou 撫州|抚州, Jiangxi
南部縣	南部县	Nán bù xiàn	Nanbu county in Nanchong 南充[Nán chōng], Sichuan
南鄭縣	南郑县	Nán zhèng Xiàn	Nanzheng County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
南陵縣	南陵县	Nán líng xiàn	Nanling county in Wuhu 蕪湖|芜湖[Wú hú], Anhui
南陽縣	南阳县	Nán yáng xiàn	Nanyang county in Henan
南靖縣	南靖县	Nán jìng xiàn	Nanjing county in Zhangzhou 漳州[Zhāng zhōu], Fujian
博愛縣	博爱县	Bó ài xiàn	Bo'ai county in Jiaozuo 焦作[Jiāo zuò], Henan
博湖縣	博湖县	Bó hú xiàn	Bohu county, Baghrash nahiyisi or Bohu county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
博白縣	博白县	Bó bái xiàn	Bobai county in Yulin 玉林[Yù lín], Guangxi
博羅縣	博罗县	Bó luó xiàn	Boluo county in Huizhou 惠州[Huì zhōu], Guangdong
博興縣	博兴县	Bó xīng xiàn	Boxing county in Binzhou 濱州|滨州[Bīn zhōu], Shandong
博野縣	博野县	Bó yě xiàn	Boye county in Baoding 保定[Bǎo dìng], Hebei
印江土家族苗族自治縣	印江土家族苗族自治县	Yìn jiāng Tǔ jiā zú Miáo zú Zì zhì xiàn	Yinjiang Tujia and Hmong autonomous county in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
印江縣	印江县	Yìn jiāng xiàn	Yinjiang Tujia and Hmong autonomous county in Tongren prefecture 銅仁地區|铜仁地区[Tóng rén dì qū], Guizhou
原陽縣	原阳县	Yuán yáng xiàn	Yuanyang county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
友誼縣	友谊县	Yǒu yì xiàn	Youyi county in Shuangyashan 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang
古丈縣	古丈县	Gǔ zhàng xiàn	Guzhang county in Xiangxi Tujia and Miao autonomous prefecture 湘西土家族苗族自治州[Xiāng xī Tǔ jiā zú Miáo zú zì zhì zhōu]
古浪縣	古浪县	Gǔ làng xiàn	Gulang county in Wuwei 武威[Wǔ wēi], Gansu
古田縣	古田县	Gǔ tián xiàn	Gutian county in Ningde 寧德|宁德[Níng dé], Fujian
古縣	古县	Gǔ xiàn	Gu county in Linfen 臨汾|临汾[Lín fén], Shanxi
古藺縣	古蔺县	Gǔ lìn xiàn	Gulin county in Luzhou 瀘州|泸州[Lú zhōu], Sichuan
台中縣	台中县	Tái zhōng xiàn	Taichung or Taizhong county in central Taiwan
台前縣	台前县	Tái qián xiàn	Taiqian county in Puyang 濮陽|濮阳[Pú yáng], Henan
台北縣	台北县	Tái běi xiàn	Taibei or Taipei county in north Taiwan
台南縣	台南县	Tái nán xiàn	Tainan county in south Taiwan
台東縣	台东县	Tái dōng Xiàn	Taitung County in southeast Taiwan
台江縣	台江县	Tái jiāng xiàn	Taijiang county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
右玉縣	右玉县	Yòu yù xiàn	Youyu county in Shuozhou 朔州[Shuò zhōu], Shanxi
合水縣	合水县	Hé shuǐ xiàn	Heshui county in Qingyang 慶陽|庆阳[Qìng yáng], Gansu
合江縣	合江县	Hé jiāng xiàn	Hejiang county in Luzhou 瀘州|泸州[Lú zhōu], Sichuan
合浦縣	合浦县	Hé pǔ xiàn	Hepu county in Beihai 北海[Běi hǎi], Guangxi
合陽縣	合阳县	Hé yáng Xiàn	Heyang County in Weinan 渭南[Wèi nán], Shaanxi
吉安縣	吉安县	Jí ān xiàn	Ji'an county in Ji'an 吉安, Jiangxi
吉木乃縣	吉木乃县	Jí mù nǎi xiàn	Jeminay county or Jéminey nahiyisi in Altay prefecture 阿勒泰地區|阿勒泰地区[Ā lè tài dì qū], Xinjiang
吉木薩爾縣	吉木萨尔县	Jí mù sà ěr xiàn	Jimsar county or Jimisar nahiyisi in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
吉水縣	吉水县	Jí shuǐ xiàn	Jishui county in Ji'an 吉安, Jiangxi
吉縣	吉县	Jí xiàn	Ji county in Linfen 臨汾|临汾[Lín fén], Shanxi
吉隆縣	吉隆县	Jí lóng xiàn	Gyirong county, Tibetan: Skyid grong rdzong, in Shigatse prefecture, Tibet
同仁縣	同仁县	Tóng rén xiàn	Tongren county in Huangnan Tibetan autonomous prefecture 黃南藏族自治州|黄南藏族自治州[Huáng nán Zàng zú zì zhì zhōu], Qinghai
同安縣	同安县	Tóng ān xiàn	former Tong'an county, now Tong'an district 同安區|同安区[Tóng ān qū] of Xiamen city, Fujian
同德縣	同德县	Tóng dé xiàn	Tongde county in Hainan Tibetan autonomous prefecture 海南藏族自治州[Hǎi nán Zàng zú Zì zhì zhōu], Qinghai
同心縣	同心县	Tóng xīn xiàn	Tongxin county in Wuzhong 吳忠|吴忠[Wú zhōng], Ningxia
名山縣	名山县	Míng shān xiàn	Mingshan county in Ya'an 雅安[Yǎ ān], Sichuan
含山縣	含山县	Hán shān xiàn	Hanshan county in Chaohu 巢湖[Cháo hú], Anhui
吳堡縣	吴堡县	Wú bǔ Xiàn	Wubu County in Yulin 榆林[Yú lín], Shaanxi
吳旗縣	吴旗县	Wú qí xiàn	Wuqi county, Shaanxi/old spelling of 吳起縣|吴起县[Wú qǐ xiàn]
吳橋縣	吴桥县	Wú qiáo xiàn	Wuqiao county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
吳縣	吴县	Wú xiàn	Wu county in Jiangsu
吳起縣	吴起县	Wú qǐ xiàn	Wuqi county in Yan'an 延安[Yán ān], Shaanxi
呈貢縣	呈贡县	Chéng gòng xiàn	Chenggong county in Kunming 昆明[Kūn míng], Yunnan
周寧縣	周宁县	Zhōu níng xiàn	Zhouning county in Ningde 寧德|宁德[Níng dé], Fujian
周至縣	周至县	Zhōu zhì xiàn	Zhouzhi county in Xi'an 西安[Xī ān], Shaanxi
呼圖壁縣	呼图壁县	Hū tú bì xiàn	Hutubi county in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
呼瑪縣	呼玛县	Hū mǎ xiàn	Huma county in Daxing'anling prefecture 大興安嶺地區|大兴安岭地区, Heilongjiang
