鴨	鸭	yā	duck/CL:隻|只[zhī]/(slang) male prostitute
鴨子	鸭子	yā zi	duck/male prostitute (slang)
鴨子兒	鸭子儿	yā zǐ r5	(coll.) duck's egg
鴨掌	鸭掌	yā zhǎng	duck feet (claws)
鴨梨	鸭梨	yā lí	Chinese white pear (Pyrus × bretschneideri)
鴨綠江	鸭绿江	Yā lù Jiāng	Yalu River, forming part of the China-Korea border
鴨舌帽	鸭舌帽	yā shé mào	peaked cap
鴨蛋青	鸭蛋青	yā dàn qīng	pale blue
鴨霸	鸭霸	yā bà	(Tw) unreasonable/overbearing/with no regard for others
鵲鴨	鹊鸭	què yā	(bird species of China) common goldeneye (Bucephala clangula)
鹹鴨蛋	咸鸭蛋	xián yā dàn	salted duck egg
黃鴨	黄鸭	huáng yā	Ruddy Shelduck (Tadorna ferruginea)/same as 赤麻鴨|赤麻鸭
黑海番鴨	黑海番鸭	hēi hǎi fān yā	(bird species of China) black scoter (Melanitta nigra)
