腦	脑	nǎo	brain/mind/head/essence
腦力激盪	脑力激荡	nǎo lì jī dàng	to brainstorm
腦勺	脑勺	nǎo sháo	back of the head
腦卒中	脑卒中	nǎo cù zhòng	stroke/cerebral hemorrhage
腦回	脑回	nǎo huí	gyrus (neuroanatomy)
腦圖	脑图	nǎo tú	mind map
腦垂體	脑垂体	nǎo chuí tǐ	pituitary gland
腦子	脑子	nǎo zi	brains/mind/CL:個|个[gè]
腦子有泡	脑子有泡	nǎo zi yǒu pào	soft in the head/brainless/dumb
腦子生銹	脑子生锈	nǎo zi shēng xiù	lit. brains rusty/ossified thinking
腦子進水	脑子进水	nǎo zi jìn shuǐ	to have lost one's mind/crazy/soft in the head
腦室	脑室	nǎo shì	ventricles of the brain
腦島	脑岛	nǎo dǎo	insula
腦幹	脑干	nǎo gàn	brain stem
腦後	脑后	nǎo hòu	the back of the head/(fig.) the back of one's mind
腦性痲痺	脑性痲痹	nǎo xìng má bì	variant of 腦性麻痺|脑性麻痹/cerebral palsy/spasticity
腦性麻痺	脑性麻痹	nǎo xìng má bì	cerebral palsy/spasticity
腦成像技術	脑成像技术	nǎo chéng xiàng jì shù	brain imaging technique
腦損傷	脑损伤	nǎo sǔn shāng	brain damage
腦杓	脑杓	nǎo sháo	the spoon shape slope on the nape
腦梗塞	脑梗塞	nǎo gěng sè	cerebral infarction
腦梗死	脑梗死	nǎo gěng sǐ	cerebral infarction
腦橋	脑桥	nǎo qiáo	(anatomy) pons
腦死亡	脑死亡	nǎo sǐ wáng	brain death
腦殘	脑残	nǎo cán	moronic/brainless/bonehead/retard
腦殘粉	脑残粉	nǎo cán fěn	(slang) fanboy/fangirl
腦殼	脑壳	nǎo ké	skull/(fig.) brain (mental capacity)
腦水腫	脑水肿	nǎo shuǐ zhǒng	cerebral edema
腦汁	脑汁	nǎo zhī	brains
腦波	脑波	nǎo bō	brain wave/EEG
腦洞大開	脑洞大开	nǎo dòng dà kāi	imaginative/to have one's mind buzzing with ideas
腦海	脑海	nǎo hǎi	the mind/the brain
腦液	脑液	nǎo yè	brain fluid
腦溝	脑沟	nǎo gōu	sulcus (neuroanatomy)
腦溢血	脑溢血	nǎo yì xuè	cerebral hemorrhage/stroke
腦漲	脑涨	nǎo zhàng	variant of 腦脹|脑胀[nǎo zhàng]
腦漿	脑浆	nǎo jiāng	brains
腦炎	脑炎	nǎo yán	encephalitis
腦瓜	脑瓜	nǎo guā	skull/brain/head/mind/mentality/ideas
腦瓜兒	脑瓜儿	nǎo guā r5	erhua variant of 腦瓜|脑瓜[nǎo guā]
腦瓜子	脑瓜子	nǎo guā zi	see 腦瓜|脑瓜[nǎo guā]
腦瓢兒	脑瓢儿	nǎo piáo r5	top of the head/crown
腦病	脑病	nǎo bìng	brain disease/encephalopathy
腦瘤	脑瘤	nǎo liú	brain tumor
腦癱	脑瘫	nǎo tān	cerebral palsy
腦神經	脑神经	nǎo shén jīng	cranial nerves
腦筋	脑筋	nǎo jīn	brains/mind/head/way of thinking
腦細胞	脑细胞	nǎo xì bāo	brain cell
腦脊液	脑脊液	nǎo jǐ yè	cerebrospinal fluid (CSF)
腦脹	脑胀	nǎo zhàng	lit. brain swelling/dizzy/light-headed/intoxicated
腦腫瘤	脑肿瘤	nǎo zhǒng liú	brain tumor
腦膜	脑膜	nǎo mó	meninx/meninges/membranes lining the brain
腦膜炎	脑膜炎	nǎo mó yán	meningitis
腦葉	脑叶	nǎo yè	lobe of the brain
腦血管屏障	脑血管屏障	nǎo xuè guǎn píng zhàng	blood brain barrier
腦血管疾病	脑血管疾病	nǎo xuè guǎn jí bìng	cerebrovascular disease
腦袋	脑袋	nǎo dai	head/skull/brains/mental capability/CL:顆|颗[kē],個|个[gè]
腦袋開花	脑袋开花	nǎo dài kāi huā	to blow one's brain out
腦補	脑补	nǎo bǔ	(Internet slang) to imagine/to visualize
腦貧血	脑贫血	nǎo pín xuè	cerebral anemia
腦門	脑门	nǎo mén	forehead
腦門子	脑门子	nǎo mén zi	forehead (dialect)
腦際	脑际	nǎo jì	mind/memory
腦電圖	脑电图	nǎo diàn tú	electroencephalogram (EEG)
腦電圖版	脑电图版	nǎo diàn tú bǎn	electroencephalogram (EEG)
腦電波	脑电波	nǎo diàn bō	see 腦波|脑波[nǎo bō]
腦震盪	脑震荡	nǎo zhèn dàng	(med.) cerebral concussion
腦髓	脑髓	nǎo suǐ	brain tissue/gray matter/brain/medulla
膝上型電腦	膝上型电脑	xī shàng xíng diàn nǎo	laptop (computer)
蘋果電腦	苹果电脑	Píng guǒ diàn nǎo	Apple computer/Mac/Macintosh
衝昏頭腦	冲昏头脑	chōng hūn tóu nǎo	lit. to be muddled in the brain (idiom); fig. excited and unable to act rationally/to go to one's head
裂腦人	裂脑人	liè nǎo rén	commissurotomy
西方馬腦炎病毒	西方马脑炎病毒	xī fāng mǎ nǎo yán bìng dú	western equine encephalitis (WEE) virus
豆渣腦筋	豆渣脑筋	dòu zhā nǎo jīn	idiot/porridge head
豆腐腦	豆腐脑	dòu fu nǎo	jellied tofu/soft bean curd
賊頭賊腦	贼头贼脑	zéi tóu zéi nǎo	lit. to behave like a thief/furtive/underhand
針頭線腦	针头线脑	zhēn tóu xiàn nǎo	needle and thread/sewing implements/needlework/(fig.) unimportant thing
開腦洞	开脑洞	kāi nǎo dòng	to blow people's minds with highly imaginative, bizarre ideas
間腦	间脑	jiān nǎo	diencephalon
雜谷腦	杂谷脑	Zá gǔ nǎo	Zagunao River in Sichuan, tributary of the Min River 岷江[Mín Jiāng]
雜谷腦鎮	杂谷脑镇	Zá gǔ nǎo zhèn	Zagunao town in Li county 理縣|理县, Sichuan
電腦	电脑	diàn nǎo	computer/CL:臺|台[tái]
電腦企業	电脑企业	diàn nǎo qǐ yè	computer company/computer firm
電腦斷層掃描	电脑断层扫描	diàn nǎo duàn céng sǎo miáo	CAT scan/CT scan
電腦業者	电脑业者	diàn nǎo yè zhě	software developer
電腦病毒	电脑病毒	diàn nǎo bìng dú	computer virus
電腦系統	电脑系统	diàn nǎo xì tǒng	computer system
電腦網	电脑网	diàn nǎo wǎng	computer network/Internet
電腦網路	电脑网路	diàn nǎo wǎng lù	computer network
