膠	胶	jiāo	to glue/glue/gum/rubber
開膠	开胶	kāi jiāo	to come unglued/to come apart
阿拉伯膠	阿拉伯胶	Ā lā bó jiāo	gum arabic/acacia gum
阿膠	阿胶	ē jiāo	donkey-hide gelatin (used in TCM)/Taiwan pr. [ā jiāo]
香口膠	香口胶	xiāng kǒu jiāo	chewing gum
骨膠原	骨胶原	gǔ jiāo yuán	collagen (protein)
髮膠	发胶	fà jiāo	hair gel
鰾膠	鳔胶	biào jiāo	isinglass/fish glue
黃原膠	黄原胶	huáng yuán jiāo	xanthan/xanthanate gum (polysaccharide food additive used as a thickener)
黃膠	黄胶	huáng jiāo	yellow gum/xanthanate gum (polysaccharide food additive used as a thickener)
黏膠	黏胶	nián jiāo	viscose
黏膠液	黏胶液	nián jiāo yè	viscose
黐膠	黐胶	chī jiāo	birdlime
黑膠	黑胶	hēi jiāo	vinyl
