賓	宾	bīn	visitor/guest/object (in grammar)
賓詞	宾词	bīn cí	predicate
賓語	宾语	bīn yǔ	object (grammar)
賓語關係從句	宾语关系从句	bīn yǔ guān xì cóng jù	object relative clause
賓陽	宾阳	Bīn yáng	Binyang county in Nanning 南寧|南宁[Nán níng], Guangxi
賓陽縣	宾阳县	Bīn yáng xiàn	Binyang county in Nanning 南寧|南宁[Nán níng], Guangxi
賓館	宾馆	bīn guǎn	guesthouse/lodge/hotel/CL:個|个[gè],家[jiā]
車里雅賓斯克	车里雅宾斯克	Chē lǐ yǎ bīn sī kè	Chelyabinsk town on the eastern flanks of Ural, on trans-Siberian railway
迎賓	迎宾	yíng bīn	to welcome a guest/to entertain a customer (of prostitute)
酬賓	酬宾	chóu bīn	bargain sale/discount
間接賓語	间接宾语	jiàn jiē bīn yǔ	indirect object (grammar)
雅各賓派	雅各宾派	Yǎ gè bīn pài	Jacobin club, French revolutionary party that played a leading role in the reign of terror 1791-1794
館賓	馆宾	guǎn bīn	private teacher/preceptor
駱賓王	骆宾王	Luò Bīn wáng	Luo Binwang (640-684), one of Four Great Poets of the Early Tang 初唐四傑|初唐四杰[Chū Táng Sì jié]
魯賓	鲁宾	Lǔ bīn	Rubin (name)/Robert E. Rubin (1938-), US Treasury Secretary 1995-1999 under President Clinton
黃賓虹	黄宾虹	Huáng Bīn hóng	Huang Binhong (1865-1955), art historian and literati painter
