燈	灯	dēng	lamp/light/lantern/CL:盞|盏[zhǎn]
燈草	灯草	dēng cǎo	the spongy, white pulp inside the stem of rush plants, used as a wick for oil lamps
燈草絨	灯草绒	dēng cǎo róng	see 燈芯絨|灯芯绒[dēng xīn róng]
燈蕊	灯蕊	dēng ruǐ	lamp wick
燈號	灯号	dēng hào	flashing light/indicator light
燈蛾	灯蛾	dēng é	moth
燈謎	灯谜	dēng mí	riddles written on lanterns (e.g. for the Lantern Festival at the end of Chinese New Year)
燈頭	灯头	dēng tóu	electric light socket/burner (component of a kerosene lamp)/light (as a countable item, e.g. number of lights fitted in a house)
白熾燈	白炽灯	bái chì dēng	incandescent light
省油的燈	省油的灯	shěng yóu de dēng	sb who is easy to deal with
石英鹵素燈	石英卤素灯	shí yīng lǔ sù dēng	quartz halogen lamp
礦燈	矿灯	kuàng dēng	miner's lamp/mine light
筒燈	筒灯	tǒng dēng	fluorescent tube or light
管燈	管灯	guǎn dēng	fluorescent light
節能燈	节能灯	jié néng dēng	compact fluorescent lamp (CFL)
紅燈	红灯	hóng dēng	red light
紅燈區	红灯区	hóng dēng qū	red-light district
紅燈記	红灯记	Hóng dēng jì	The Legend of the Red Lantern
紅綠燈	红绿灯	hóng lǜ dēng	traffic light/traffic signal
綠燈	绿灯	lǜ dēng	green light
聚光燈	聚光灯	jù guāng dēng	spotlight
航標燈	航标灯	háng biāo dēng	lighted buoy/channel marking light/signal light
花燈	花灯	huā dēng	colored lantern (used at Lantern Festival 元宵節|元宵节)
花燈戲	花灯戏	huā dēng xì	opera for popular in Sichuan and Yunnan
華燈	华灯	huá dēng	light/decorated lantern
華燈初上	华灯初上	huá dēng chū shàng	early evening when lanterns are first lit
萬家燈火	万家灯火	wàn jiā dēng huǒ	(of a city etc) ablaze with lights
落地燈	落地灯	luò dì dēng	floor lamp
螢光燈	萤光灯	yíng guāng dēng	Taiwan variant of 熒光燈|荧光灯[yíng guāng dēng]
街燈	街灯	jiē dēng	streetlight
走馬燈	走马灯	zǒu mǎ dēng	lantern with carousel of paper horses, rotating under convection, used at Lantern Festival 元宵節|元宵节/fig. constant busy circulation of people
路燈	路灯	lù dēng	street lamp/street light
車頭燈	车头灯	chē tóu dēng	(vehicle) headlight
轉向燈	转向灯	zhuǎn xiàng dēng	vehicle turn indicator light
近光燈	近光灯	jìn guāng dēng	low beam (headlights)
追光燈	追光灯	zhuī guāng dēng	(theater) spotlight/followspot
遠光燈	远光灯	yuǎn guāng dēng	high beam (headlights)
