	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
叶	yè	to harmonize, to rhyme; to unite; (borrowed for) leaf	口 30.2	5	4	238	920
吸	xī	inhale, suck in; absorb; attract	口 30.4	6	4	431	924
呀	ya	particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten	口 30.4	7	4	729	929
顺	shùn	obey, submit to, go along with	頁 181.3	9	4	1559	938
输	shū	transport, carry, haul	車 159.9	13	4	2890	939
招	zhāo	beckon, summon; recruit, levy	手 64.5	8	4	988	941
脱	tuō	take off	肉 130.7	11	4	2360	943
油	yóu	oil, fat, grease, lard; paints	水 85.5	8	4	1248	948
材	cái	material, stuff; timber; talent	木 75.3	7	4	681	952
博	bó	gamble, play games; wide, broad	十 24.10	12	4	2521	965
烟	yān	smoke, soot; opium; tobacco, cigarettes	火 86.6	10	4	2062	967
授	shòu	give to, transmit; confer	手 64.8	11	4	2177	968
禁	jìn	restrict, prohibit, forbid	示 113.8	13	4	2863	986
孙	sūn	grandchild, descendent; surname	子 39.3	6	4	570	995
篇	piān	chapter, section, essay, article	竹 118.9	15	4	3268	1008
遍	biàn	everywhere, all over, throughout	辵 162.9	12	4	2788	1012
础	chǔ	foundation stone, plinth	石 112.5	10	4	1866	1014
翻	fān	flip over, upset, capsize	羽 124.12	18	4	3445	1027
森	sēn	forest; luxuriant vegetation	木 75.8	12	4	2567	1029
默	mò	silent; quiet, still; dark	黑 203.4	16	4	3352	1031
熟	shú	well-cooked; ripe; familiar with	火 86.11	15	4	3278	1035
伙	huǒ	companion, colleague; utensils	人 9.4	6	4	475	1047
弄	nòng	do, play or fiddle with; alley	廾 55.4	7	4	600	1053
刀	dāo	knife; old coin; measure	刀 18.0	2	4	18	1067
窗	chuāng	window	穴 116.7	12	4	2786	1074
醒	xǐng	wake up; sober up; startle	酉 164.9	16	4	3336	1075
购	gòu	buy, purchase; hire	貝 154.4	8	4	1117	1078
虎	hǔ	tiger; brave, fierce; surname	虍 141.2	8	4	1071	1083
扬	yáng	scatter, spread; praise	手 64.3	6	4	368	1084
毕	bì	end, finish, conclude; completed	比 81.2	6	4	409	1093
尤	yóu	especially, particularly	尢 43.1	4	4	98	1099
竞	jìng	contend, vie, compete	立 117.5	10	4	2043	1100
弃	qì	reject, abandon, discard	廾 55.4	7	4	842	1105
麻	má	hemp, jute, flax; sesame	麻 200.0	11	4	2379	1108
申	shēn	to state to a superior, report; extend; 9th terrestrial branch	田 102.0	5	4	240	1110
售	shòu	sell	口 30.8	11	4	2332	1114
针	zhēn	needle; pin; tack; acupuncture	金 167.2	7	4	757	1116
抱	bào	embrace, hold in arms, enfold	手 64.5	8	4	978	1122
鼓	gǔ	drum; beat, top, strike	鼓 207.0	13	4	2837	1123
植	zhí	plant, trees, plants; grow	木 75.8	12	4	2566	1124
页	yè	page, sheet, leaf; rad. no. 181	頁 181.0	6	4	393	1128
折	zhé	break off, snap; bend	手 64.4	7	4	632	1131
尊	zūn	respect, revere, venerate; honor	寸 41.9	12	4	2743	1134
秀	xiù	ear of grain; flowering, luxuriant; refined, elegant, graceful	禾 115.2	7	4	765	1136
染	rǎn	dye; be contagious; infect	木 75.5	9	4	1675	1141
迷	mí	bewitch, charm, infatuate	辵 162.6	9	4	1647	1153
诚	chéng	sincere, honest; true, real	言 149.6	8	4	1291	1154
彩	cǎi	hue, color; variegated colors	彡 59.8	11	4	2353	1177
抽	chōu	draw out, pull out; sprout	手 64.5	8	4	966	1178
浪	làng	wave; wasteful, reckless	水 85.7	10	4	2084	1186
丰	fēng	abundant, lush, bountiful, plenty	丨 2.3	4	4	74	1189
译	yì	translate; decode; encode	言 149.5	7	4	898	1198
距	jù		足 157.5	11	4	2273	1202
符	fú	i.d. tag, tally, symbol, charm	竹 118.5	11	4	2321	1205
勇	yǒng	brave, courageous, fierce	力 19.7	9	4	1746	1206
厅	tīng	hall, central room	厂 27.2	4	4	90	1217
拜	bài	do obeisance, bow, kowtow	手 64.5	9	4	1538	1218
巧	qiǎo	skillful, ingenious, clever	工 48.2	5	4	197	1219
戴	dài	wear on top; support	戈 62.14	17	4	3388	1228
童	tóng	child, boy, servant boy; virgin	立 117.7	12	4	2735	1229
乘	chéng	ride, ascend; avail oneself of; numerary adjunct for vehicles	丿 4.9	10	4	1941	1231
挂	guà	hang, suspend; suspense	手 64.6	9	4	1365	1232
奖	jiǎng	prize, reward; give award to	大 37.6	9	4	1618	1233
厚	hòu	thick; substantial; greatly	厂 27.7	9	4	1449	1235
镜	jìng	mirror; lens; glass; glasses	金 167.11	16	4	3354	1251
烦	fán	bother, vex, trouble; troublesome	火 86.6	10	4	2059	1253
签	qiān	sign, endorse; slip of paper	竹 118.7	13	4	2953	1254
牌	pái	signboard, placard	片 91.8	12	4	2692	1261
咱	zán	we, us	口 30.6	9	4	1508	1265
奋	fèn	strive, exert effort; arouse	大 37.5	8	4	1051	1268
播	bō	sow, spread; broadcast; cast away, reject	手 64.12	15	4	3199	1275
桥	qiáo	bridge; beam, crosspiece	木 75.6	10	4	1841	1292
寒	hán	cold, wintry, chilly	宀 40.9	12	4	2780	1297
聚	jù	assemble, meet together, collect	耳 128.8	14	4	3065	1306
袋	dài	pocket, bag, sack, pouch	衣 145.5	11	4	2325	1310
暂	zàn	temporary	日 72.8	12	4	2599	1325
估	gū	merchant; estimate, guess, presume	人 9.5	7	4	769	1326
拒	jù	ward off with hand, defend	手 64.5	7	4	620	1331
忆	yì	remember, reflect upon; memory	心 61.1	4	4	167	1333
闹	nào	quarrel; dispute hotly	門 169.5	8	4	1228	1336
厉	lì	whetstone; grind, sharpen; whet	厂 27.3	5	4	215	1339
穷	qióng	poor, destitute, impoverished	穴 116.2	7	4	882	1343
码	mǎ	number, numerals; yard; symbol	石 112.3	8	4	1046	1345
偶	ǒu	accidentally, coincidently; an idol	人 9.9	11	4	2328	1361
稍	shāo	little, slightly; rather	禾 115.7	12	4	2676	1373
矿	kuàng	mine; mineral, ore	石 112.3	8	4	1045	1385
抬	tái	lift, carry	手 64.5	8	4	993	1386
倍	bèi	times, fold, multiple times	人 9.8	10	4	1967	1392
污	wū	filthy, dirty, impure, polluted	水 85.3	6	4	537	1405
耐	nài	endure, bear; resist; patient	而 126.3	9	4	1456	1409
粗	cū	rough, thick, course; rude	米 119.5	11	4	2403	1414
悉	xī	know, learn about, comprehend	心 61.7	11	4	2351	1428
详	xiáng	detailed, complete, thorough	言 149.6	8	4	1301	1439
允	yǔn	to grant, to allow, to consent	儿 10.2	4	4	183	1443
剩	shèng	leftovers, residue, remains	刀 18.10	12	4	2675	1446
漫	màn	overflow of water; spreading	水 85.11	14	4	3164	1455
酸	suān	tart, sour; acid; stiff; spoiled	酉 164.7	14	4	3089	1456
辛	xīn	bitter; toilsome, laborious; 8th heavenly stem	辛 160.0	7	4	841	1463
餐	cān	eat, dine; meal; food	食 184.7	16	4	3341	1465
挺	tǐng	to stand upright, straighten; rigid	手 64.7	9	4	1382	1467
励	lì	strive; encourage	力 19.5	7	4	702	1468
键	jiàn	door bolt, lock bolt; key	金 167.8	13	4	2943	1471
扰	rǎo	disturb, annoy, agitate	手 64.4	7	4	618	1483
阅	yuè	examine, inspect, review, read	門 169.7	10	4	2048	1489
汗	hàn	perspiration, sweat	水 85.3	6	4	536	1490
骗	piàn	swindle, cheat out of, defraud	馬 187.9	12	4	2821	1503
龄	líng	age; years	齒 211.5	13	4	2893	1510
惜	xī	pity, regret, rue, begrudge	心 61.8	11	4	2439	1512
仔	zǐ	small thing, child; young animal	人 9.3	5	4	276	1572
俩	liǎ	two, pair	人 9.7	9	4	1557	1574
籍	jí	record, register, list; census	竹 118.14	20	4	3482	1579
凉	liáng	cool, cold; disheartened	冫 15.8	10	4	2040	1581
貌	mào	countenance, appearance	豸 153.7	14	4	3131	1595
猜	cāi	guess, conjecture, suppose; feel	犬 94.8	11	4	2364	1598
怜	lián	pity, sympathize	心 61.5	8	4	1270	1599
躺	tǎng	lie down, recline	身 158.8	15	4	3270	1608
钢	gāng	steel; hard, strong, tough	金 167.4	9	4	1529	1609
寄	jì	send, transmit, mail; rely on	宀 40.8	11	4	2453	1611
汤	tāng	hot water; soup, gravy, broth	水 85.3	6	4	542	1618
肥	féi	fat, plump, obese; fertile	肉 130.4	8	4	1189	1620
