鹽	盐	yán	salt/CL:粒[lì]
鹽田區	盐田区	Yán tián qū	Yantian district of Shenzhen City 深圳市, Guangdong
鹽皮質類固醇	盐皮质类固醇	yán pí zhì lèi gù chún	mineralocorticoid (e.g. aldosterone)
鹽膚木	盐肤木	yán fū mù	Chinese sumac (Rhus chinensis)
鹽蛇	盐蛇	yán shé	(dialect) gecko
鹽邊	盐边	Yán biān	Yanbian county in Panzhihua 攀枝花[Pān zhī huā], south Sichuan
鹽邊縣	盐边县	Yán biān xiàn	Yanbian county in Panzhihua 攀枝花[Pān zhī huā], south Sichuan
鹽都	盐都	Yán dū	Yandu district of Yancheng city 鹽城市|盐城市[Yán chéng shì], Jiangsu
鹽都區	盐都区	Yán dū qū	Yandu district of Yancheng city 鹽城市|盐城市[Yán chéng shì], Jiangsu
鹽酸	盐酸	yán suān	hydrochloric acid HCl
鹽酸克侖特羅	盐酸克仑特罗	yán suān kè lún tè luō	clenbuterol hydrochloride (diet pill that burns fat)/e.g. Spiropent
鹽酸鹽	盐酸盐	yán suān yán	chloride/hydrochloride (chemistry)
鹽鹵	盐卤	yán lǔ	brine
鹽鹼	盐碱	yán jiǎn	saline and alkaline (earth)
鹽鹼地	盐碱地	yán jiǎn dì	saline soil/(fig.) infertile woman
鹽鹼濕地	盐碱湿地	yán jiǎn shī dì	a saltmarsh
黃原酸鹽	黄原酸盐	huáng yuán suān yán	xanthate
