譴	谴	qiǎn	to censure/to reprimand
天譴	天谴	tiān qiǎn	the wrath of Heaven/imperial displeasure
自譴	自谴	zì qiǎn	to blame oneself/self-recrimination
訶譴	诃谴	hē qiǎn	variant of 呵譴|呵谴[hē qiǎn]
呵譴	呵谴	hē qiǎn	to reprimand
譴呵	谴呵	qiǎn hē	variant of 譴訶|谴诃[qiǎn hē]
譴訶	谴诃	qiǎn hē	to reprimand
譴責	谴责	qiǎn zé	to denounce/to condemn/to criticize/condemnation/criticism
譴責小說	谴责小说	qiǎn zé xiǎo shuō	novel of denunciation (according to Lu Xun's 鲁迅 classification)
